Key Financial Ratios of Cochin Shipyard (in Rs. Cr.),Mar-24,Mar-23,Mar-22,Mar-21,Mar-20,,Key Financial Ratios of Cochin Shipyard (in Rs. Cr.),Mar-19,Mar-18,Mar-17,Mar-16,Mar-15,,Key Financial Ratios of Cochin Shipyard (in Rs. Cr.),Mar-14,Mar-13,Mar-12,Mar-11,Mar-10,,Key Financial Ratios of Cochin Shipyard (in Rs. Cr.),Mar-09,,,,,
Cash Earnings Retention Ratio (%),72.79,39.46,68.28,44.47,71.97,,Cash Earnings Retention Ratio (%),66.82,71.84,71.04,94.84,93.79,,Cash Earnings Retention Ratio (%),92.32,91.7,89.64,95.38,95.25,,Cash Earnings Retention Ratio (%),93.34,,,,,
Valuation Ratios,,,,,,,Valuation Ratios,,,,,,,Valuation Ratios,,,,,,,Valuation Ratios,,,,,,
Enterprise Value (Cr.),"19,173.14","1,712.71",826.8,"2,913.33","1,423.04",,Enterprise Value (Cr.),"2,782.18","3,475.00",0,0,0,,Enterprise Value (Cr.),0,0,0,0,0,,Enterprise Value (Cr.),0,,,,,
EV/Net Operating Revenue (X),5.26,0.73,0.26,1.03,0.42,,EV/Net Operating Revenue (X),0.94,1.48,0,0,0,,EV/Net Operating Revenue (X),0,0,0,0,0,,EV/Net Operating Revenue (X),0,,,,,
EV/EBITDA (X),16.22,3.63,0.92,3.19,1.49,,EV/EBITDA (X),3.48,5.32,0,0,0,,EV/EBITDA (X),0,0,0,0,0,,EV/EBITDA (X),0,,,,,
MarketCap/Net Operating Revenue (X),6.29,2.69,1.21,1.75,1.02,,MarketCap/Net Operating Revenue (X),1.75,2.91,0,0,0,,MarketCap/Net Operating Revenue (X),0,0,0,0,0,,MarketCap/Net Operating Revenue (X),0,,,,,
Retention Ratios (%),70.88,30.19,65.24,39.63,69.82,,Retention Ratios (%),64.46,69.17,67.56,94.17,92.77,,Retention Ratios (%),91.25,90.82,88.54,95.02,94.92,,Retention Ratios (%),92.92,,,,,
Price/BV (X),4.56,1.41,0.89,1.24,0.93,,Price/BV (X),1.56,2.1,0,0,0,,Price/BV (X),0,0,0,0,0,,Price/BV (X),0,,,,,
Price/Net Operating Revenue,6.29,2.69,1.21,1.75,1.02,,Price/Net Operating Revenue,1.75,2.91,0,0,0,,Price/Net Operating Revenue,0,0,0,0,0,,Price/Net Operating Revenue,0,,,,,
Earnings Yield,0.04,0.05,0.15,0.12,0.18,,Earnings Yield,0.09,0.06,0,0,0,,Earnings Yield,0,0,0,0,0,,Earnings Yield,0,,,,,
