Key Financial Ratios of HEG (in Rs. Cr.),Mar-24,Mar-23,Mar-22,Mar-21,Mar-20,,Key Financial Ratios of HEG (in Rs. Cr.),Mar-19,Mar-18,Mar-17,Mar-16,Mar-15,,Key Financial Ratios of HEG (in Rs. Cr.),Mar-14,Mar-13,Mar-12,Mar-11,Mar-10,,Key Financial Ratios of HEG (in Rs. Cr.),Mar-09,Mar-08,Mar-07,Mar-06,Mar-05,
PBT/Share (Rs.),81.68,155.58,134.73,-7.97,7.59,,PBT/Share (Rs.),"1,211.81",401.58,-10.2,0.24,11.09,,PBT/Share (Rs.),24.39,31.35,16.8,39.21,56.08,,PBT/Share (Rs.),37.84,43.05,24.39,12.83,12.16,
Net Profit/Share (Rs.),59.99,118.02,101.2,-6.55,13.83,,Net Profit/Share (Rs.),790.35,270.61,-12.52,-1.89,9.76,,Net Profit/Share (Rs.),21.68,26.48,15.6,30.08,40.15,,Net Profit/Share (Rs.),25.13,33.02,18.32,9.66,10.21,
Profitability Ratios,,,,,,,Profitability Ratios,,,,,,,Profitability Ratios,,,,,,,Profitability Ratios,,,,,,
PBDIT Margin (%),21.94,29.53,27.56,4.27,6.41,,PBDIT Margin (%),72.31,63.05,10.21,16.16,16.73,,PBDIT Margin (%),18.25,18.9,18.16,22.16,28.03,,PBDIT Margin (%),26.28,27.18,21.32,19.61,16.31,
PBIT Margin (%),14.65,25.39,23.95,-1.54,3.06,,PBIT Margin (%),71.21,60.41,1.62,7.04,10.66,,PBIT Margin (%),13.3,15.04,14.09,17.02,23.91,,PBIT Margin (%),21.84,22.91,16.19,13.01,11.4,
PBT Margin (%),13.16,24.33,23.61,-2.44,1.36,,PBT Margin (%),70.94,58.35,-4.74,0.11,3.57,,PBT Margin (%),6.64,7.72,4.71,15.08,19.16,,PBT Margin (%),15.69,18.05,10.58,8.6,9.89,
Net Profit Margin (%),9.66,18.46,17.74,-2.01,2.48,,Net Profit Margin (%),46.26,39.32,-5.81,-0.86,3.14,,Net Profit Margin (%),5.9,6.51,4.37,11.57,13.71,,Net Profit Margin (%),10.42,13.85,7.94,6.47,8.3,
Return on Networth / Equity (%),5.58,11.17,10.34,-0.74,1.55,,Return on Networth / Equity (%),82.02,59.78,-5.74,-0.81,4.14,,Return on Networth / Equity (%),9.37,12.25,8.17,15.78,23.4,,Return on Networth / Equity (%),18.56,27.73,20.61,12.14,13.93,
Return on Capital Employed (%),8.25,15.01,13.58,-0.55,1.86,,Return on Capital Employed (%),121.89,55.92,-4.65,-0.66,3.01,,Return on Capital Employed (%),7.28,8.08,5.2,11.65,16.7,,Return on Capital Employed (%),10.72,17.49,7.68,4.09,5.76,
Return on Assets (%),4.27,8.29,7.55,-0.6,1.22,,Return on Assets (%),60.17,41.02,-2.82,-0.4,1.79,,Return on Assets (%),3.56,4.04,2.64,6.58,9.7,,Return on Assets (%),6.17,9.67,5.07,3.02,4.52,
Total Debt/Equity (X),0.15,0.18,0.18,0.09,0.17,,Total Debt/Equity (X),0.18,0.16,0.63,0.73,0.88,,Total Debt/Equity (X),0.9,1.41,1.5,1.04,1,,Total Debt/Equity (X),1.53,1.35,2.48,2.51,1.54,
Asset Turnover Ratio (%),0.44,0.46,0.47,30.28,49.4,,Asset Turnover Ratio (%),130.04,104.34,48.54,46.29,57.08,,Asset Turnover Ratio (%),60.36,61.98,60.37,56.89,70.71,,Asset Turnover Ratio (%),59.26,69.84,63.85,46.76,54.42,
Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,
Current Ratio (X),2.23,2.16,2.34,3.22,2.52,,Current Ratio (X),2.82,2.3,1,0.99,1.05,,Current Ratio (X),0.96,1.13,1.15,1.29,1.31,,Current Ratio (X),1.26,1.24,1.44,1.69,1.48,
Quick Ratio (X),1.21,1.07,1.58,2.32,1.29,,Quick Ratio (X),1.75,1.57,0.63,0.49,0.6,,Quick Ratio (X),0.56,0.66,0.62,0.7,0.85,,Quick Ratio (X),0.71,0.83,0.87,1.05,0.95,
Inventory Turnover Ratio (X),0.83,1.09,1.21,2.16,2.14,,Inventory Turnover Ratio (X),5.04,5.38,3.34,2.34,3.09,,Inventory Turnover Ratio (X),2.97,2.67,2.3,2.19,3.64,,Inventory Turnover Ratio (X),2.51,3.86,3.31,2.81,4.75,
Dividend Payout Ratio (NP) (%),70.84,33.89,2.96,0,542.36,,Dividend Payout Ratio (NP) (%),10.47,13.34,0,-190.53,30.73,,Dividend Payout Ratio (NP) (%),27.67,30.21,32.05,33.24,25.03,,Dividend Payout Ratio (NP) (%),25.63,29.89,27.29,31.05,29.38,
Dividend Payout Ratio (CP) (%),40.38,27.67,2.46,0,230.64,,Dividend Payout Ratio (CP) (%),10.23,12.5,0,20.04,10.48,,Dividend Payout Ratio (CP) (%),15.05,18.97,16.61,23.01,19.16,,Dividend Payout Ratio (CP) (%),17.86,22.73,16.45,15.25,18.46,
Earnings Retention Ratio (%),29.16,66.11,97.04,0,-442.36,,Earnings Retention Ratio (%),89.53,86.66,0,290.53,69.27,,Earnings Retention Ratio (%),72.33,69.79,67.95,66.76,74.97,,Earnings Retention Ratio (%),74.37,70.11,72.71,68.95,70.62,
Cash Earnings Retention Ratio (%),59.62,72.33,97.54,0,-130.64,,Cash Earnings Retention Ratio (%),89.77,87.5,0,79.96,89.52,,Cash Earnings Retention Ratio (%),84.95,81.03,83.39,76.99,80.84,,Cash Earnings Retention Ratio (%),82.14,77.27,83.55,84.75,81.54,
Valuation Ratios,,,,,,,Valuation Ratios,,,,,,,Valuation Ratios,,,,,,,Valuation Ratios,,,,,,
Enterprise Value (Cr.),"7,352.35","3,612.93","5,365.01","5,396.96","2,026.46",,Enterprise Value (Cr.),"8,191.60","13,002.95","1,429.72","1,227.67","1,694.54",,Enterprise Value (Cr.),"1,625.33","1,883.62","1,984.38","1,742.95","2,161.12",,Enterprise Value (Cr.),"1,277.98","1,847.90","1,453.94","1,359.79","1,013.80",
EV/Net Operating Revenue (X),3.07,1.46,2.44,4.3,0.94,,EV/Net Operating Revenue (X),1.24,4.73,1.66,1.41,1.37,,EV/Net Operating Revenue (X),1.11,1.16,1.39,1.57,1.73,,EV/Net Operating Revenue (X),1.24,1.75,1.56,2.26,2.05,
EV/EBITDA (X),13.99,4.96,8.84,100.45,14.69,,EV/EBITDA (X),1.72,7.5,16.27,8.73,8.16,,EV/EBITDA (X),6.07,6.14,7.67,7.06,6.18,,EV/EBITDA (X),4.74,6.44,7.34,11.54,12.54,
MarketCap/Net Operating Revenue (X),2.97,1.44,2.41,4.5,0.87,,MarketCap/Net Operating Revenue (X),1.23,4.62,1.04,0.64,0.7,,MarketCap/Net Operating Revenue (X),0.55,0.42,0.6,0.82,1.15,,MarketCap/Net Operating Revenue (X),0.39,1.12,0.72,1.14,1.17,
Retention Ratios (%),29.15,66.1,97.03,0,-442.36,,Retention Ratios (%),89.52,86.65,0,290.53,69.26,,Retention Ratios (%),72.32,69.78,67.94,66.75,74.96,,Retention Ratios (%),74.36,70.1,72.7,68.94,70.61,
Price/BV (X),1.72,0.87,1.4,1.66,0.55,,Price/BV (X),2.17,7.03,1.02,0.6,0.93,,Price/BV (X),0.87,0.79,1.13,1.11,1.96,,Price/BV (X),0.7,2.23,1.87,2.14,1.96,
Price/Net Operating Revenue,2.97,1.44,2.41,4.5,0.87,,Price/Net Operating Revenue,1.23,4.62,1.04,0.64,0.7,,Price/Net Operating Revenue,0.55,0.42,0.6,0.82,1.15,,Price/Net Operating Revenue,0.39,1.12,0.72,1.14,1.17,
Earnings Yield,0.03,0.13,0.07,0,0.03,,Earnings Yield,0.38,0.09,-0.06,-0.01,0.04,,Earnings Yield,0.11,0.15,0.07,0.14,0.12,,Earnings Yield,0.27,0.12,0.11,0.06,0.07,
