Key Financial Ratios of The Ramco Cements (in Rs. Cr.),Mar-24,Mar-23,Mar-22,Mar-21,Mar-20,,Key Financial Ratios of The Ramco Cements (in Rs. Cr.),Mar-19,Mar-18,Mar-17,Mar-16,Mar-15,,Key Financial Ratios of The Ramco Cements (in Rs. Cr.),Mar-14,Mar-13,Mar-12,Mar-11,Mar-10,,Key Financial Ratios of The Ramco Cements (in Rs. Cr.),Mar-09,Mar-08,Mar-07,Mar-06,Mar-05
PBT/Share (Rs.),23,20.05,33.91,48.31,33.41,,PBT/Share (Rs.),30.37,33.3,35.71,29.53,14.97,,PBT/Share (Rs.),6.48,24.71,23.43,12.49,22.29,,PBT/Share (Rs.),22.93,518.19,388.15,96.14,50.68
Net Profit/Share (Rs.),16.72,14.54,37.78,32.26,25.51,,Net Profit/Share (Rs.),21.47,23.58,27.27,23.45,10.18,,Net Profit/Share (Rs.),5.79,16.96,16.18,8.86,14.86,,Net Profit/Share (Rs.),15.28,343.02,255.03,65.43,46.3
Profitability Ratios,,,,,,,Profitability Ratios,,,,,,,Profitability Ratios,,,,,,,Profitability Ratios,,,,,
PBDIT Margin (%),17.05,14.97,21.98,30.03,21.68,,PBDIT Margin (%),20.49,25.78,31.34,31.99,21.95,,PBDIT Margin (%),17.61,27.35,29.78,25.12,31.25,,PBDIT Margin (%),31.36,37.98,35.95,21.47,21.82
PBIT Margin (%),10.25,8.77,15.27,23.29,15.81,,PBIT Margin (%),14.69,19.15,24.14,24.56,15.09,,PBIT Margin (%),9.29,20.02,21.98,16.68,24.26,,PBIT Margin (%),25.92,33.33,31.36,14.98,13.18
PBT Margin (%),5.81,5.82,13.39,21.63,14.66,,PBT Margin (%),13.9,17.8,21.52,19.55,9.77,,PBT Margin (%),4.19,15.35,17.11,11.35,18.89,,PBT Margin (%),21.57,30.75,29.91,11.56,8.34
Net Profit Margin (%),4.22,4.22,14.92,14.44,11.19,,Net Profit Margin (%),9.83,12.61,16.43,15.52,6.64,,Net Profit Margin (%),3.73,10.53,11.82,8.06,12.59,,Net Profit Margin (%),14.37,20.36,19.65,7.86,7.62
Return on Networth / Equity (%),5.52,5.05,13.68,13.52,12.22,,Return on Networth / Equity (%),11.34,13.74,17.35,18.05,9.16,,Return on Networth / Equity (%),5.54,17.02,18.78,12.16,22.69,,Return on Networth / Equity (%),28.84,42.8,46.22,20.09,16.7
Return on Capital Employed (%),7.85,6.24,8.89,13.74,11,,Return on Capital Employed (%),12.47,10.6,19.11,10.07,4.3,,Return on Capital Employed (%),2.66,8.3,8.45,4.94,7.97,,Return on Capital Employed (%),9.43,17,22.04,7.84,5.83
Return on Assets (%),2.44,2.36,6.83,6.7,5.98,,Return on Assets (%),6.23,7.83,9.26,7.94,3.42,,Return on Assets (%),2,6.23,6.35,3.69,6.72,,Return on Assets (%),7.81,12.17,15.68,5.56,4.04
Total Debt/Equity (X),0.69,0.66,0.6,0.55,0.54,,Total Debt/Equity (X),0.32,0.25,0.3,0.57,0.86,,Total Debt/Equity (X),0.9,0.84,1.03,1.14,1.65,,Total Debt/Equity (X),1.95,1.71,1.02,1.53,2.06
Asset Turnover Ratio (%),0.61,0.59,0.49,46.43,53.43,,Asset Turnover Ratio (%),63.46,62.14,56.35,51.18,51.55,,Asset Turnover Ratio (%),53.62,59.19,53.75,45.86,53.4,,Asset Turnover Ratio (%),54.34,59.79,79.8,70.72,52.99
Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,
Current Ratio (X),0.57,0.61,0.61,0.6,0.67,,Current Ratio (X),0.67,0.7,0.7,0.88,0.83,,Current Ratio (X),0.73,0.78,0.69,0.64,1.39,,Current Ratio (X),1.14,0.82,1.08,0.79,0.74
Quick Ratio (X),0.32,0.33,0.31,0.35,0.4,,Quick Ratio (X),0.4,0.4,0.42,0.51,0.47,,Quick Ratio (X),0.33,0.41,0.36,0.37,0.88,,Quick Ratio (X),0.73,0.56,0.86,0.55,0.43
Inventory Turnover Ratio (X),1.87,1.58,1.25,8.81,8.32,,Inventory Turnover Ratio (X),9.2,7.87,6.86,6.55,7,,Inventory Turnover Ratio (X),5.37,6.44,6.63,6.67,6.8,,Inventory Turnover Ratio (X),7.69,8.26,12.22,9.95,5.59
Dividend Payout Ratio (NP) (%),11.97,20.65,0,9.3,21.57,,Dividend Payout Ratio (NP) (%),13.98,12.73,0,12.8,14.75,,Dividend Payout Ratio (NP) (%),17.3,17.71,15.47,14.11,13.47,,Dividend Payout Ratio (NP) (%),13.11,11.76,9.81,22.95,21.62
Dividend Payout Ratio (CP) (%),4.58,8.36,0,6.34,14.15,,Dividend Payout Ratio (CP) (%),8.79,8.34,0,8.66,7.26,,Dividend Payout Ratio (CP) (%),5.36,10.44,9.32,6.89,8.66,,Dividend Payout Ratio (CP) (%),9.5,9.57,7.95,12.58,10.14
Earnings Retention Ratio (%),88.03,79.35,0,90.7,78.43,,Earnings Retention Ratio (%),86.02,87.27,0,87.2,85.25,,Earnings Retention Ratio (%),82.7,82.29,84.53,85.89,86.53,,Earnings Retention Ratio (%),86.89,88.24,90.19,77.05,78.38
Cash Earnings Retention Ratio (%),95.42,91.64,0,93.66,85.85,,Cash Earnings Retention Ratio (%),91.21,91.66,0,91.34,92.74,,Cash Earnings Retention Ratio (%),94.64,89.56,90.68,93.11,91.34,,Cash Earnings Retention Ratio (%),90.5,90.43,92.05,87.42,89.86
Valuation Ratios,,,,,,,Valuation Ratios,,,,,,,Valuation Ratios,,,,,,,Valuation Ratios,,,,,
Enterprise Value (Cr.),"23,939.66","22,173.66","21,931.29","26,624.17","14,660.24",,Enterprise Value (Cr.),"18,669.23","18,159.62","16,959.66","11,204.21","9,449.54",,Enterprise Value (Cr.),"7,313.98","7,924.78","5,716.18","4,362.77","5,424.62",,Enterprise Value (Cr.),"4,123.94","5,608.24","3,907.39","3,169.44","1,835.10"
EV/Net Operating Revenue (X),2.56,2.73,3.67,5.05,2.73,,EV/Net Operating Revenue (X),3.63,4.12,4.29,3.12,2.59,,EV/Net Operating Revenue (X),1.99,2.07,1.76,1.67,1.93,,EV/Net Operating Revenue (X),1.63,2.8,2.49,3.16,2.5
EV/EBITDA (X),15.01,18.2,16.68,16.82,12.59,,EV/EBITDA (X),17.7,15.98,13.7,9.74,11.81,,EV/EBITDA (X),11.27,7.56,5.89,6.64,6.18,,EV/EBITDA (X),5.2,7.36,6.93,14.7,11.47
MarketCap/Net Operating Revenue (X),2.05,2.19,3.04,4.49,2.26,,MarketCap/Net Operating Revenue (X),3.37,3.92,4.04,2.65,1.99,,MarketCap/Net Operating Revenue (X),1.39,1.57,1.12,0.93,1.03,,MarketCap/Net Operating Revenue (X),0.67,1.99,2.1,2.6,1.62
Retention Ratios (%),88.02,79.34,0,90.69,78.42,,Retention Ratios (%),86.01,87.26,0,87.19,85.24,,Retention Ratios (%),82.69,82.28,84.52,85.88,86.52,,Retention Ratios (%),86.88,88.23,90.18,77.04,78.37
Price/BV (X),2.68,2.63,2.79,4.21,2.46,,Price/BV (X),3.89,4.27,4.26,3.08,2.74,,Price/BV (X),2.06,2.53,1.78,1.4,1.86,,Price/BV (X),1.35,4.19,4.93,6.65,3.55
Price/Net Operating Revenue,2.05,2.19,3.04,4.49,2.26,,Price/Net Operating Revenue,3.37,3.92,4.04,2.65,1.99,,Price/Net Operating Revenue,1.39,1.57,1.12,0.93,1.03,,Price/Net Operating Revenue,0.67,1.99,2.1,2.6,1.62
Earnings Yield,0.02,0.02,0.05,0.03,0.05,,Earnings Yield,0.03,0.03,0.04,0.06,0.03,,Earnings Yield,0.03,0.07,0.11,0.09,0.12,,Earnings Yield,0.21,0.1,0.09,0.03,0.05
