Key Financial Ratios of Ashok Leyland (in Rs. Cr.),Mar-24,Mar-23,Mar-22,Mar-21,Mar-20,,Key Financial Ratios of Ashok Leyland (in Rs. Cr.),Mar-19,Mar-18,Mar-17,Mar-16,Mar-15,,Key Financial Ratios of Ashok Leyland (in Rs. Cr.),Mar-14,Mar-13,Mar-12,Mar-11,Mar-10,,Key Financial Ratios of Ashok Leyland (in Rs. Cr.),Mar-09,Mar-08,Mar-07,Mar-06,Mar-05,
PBT/Share (Rs.),12.91,7.19,1.8,-1.4,1.23,,PBT/Share (Rs.),8.51,8.15,4.67,2.9,1.55,,PBT/Share (Rs.),-0.34,1.77,2.59,6.03,4.07,,PBT/Share (Rs.),1.57,4.8,4.57,3.46,2.88,
Net Profit/Share (Rs.),8.92,4.7,1.85,-1.07,0.82,,Net Profit/Share (Rs.),6.76,5.87,4.3,1.37,1.18,,Net Profit/Share (Rs.),0.11,1.63,2.13,4.75,3.18,,Net Profit/Share (Rs.),1.43,3.53,3.36,2.68,2.18,
Profitability Ratios,,,,,,,Profitability Ratios,,,,,,,Profitability Ratios,,,,,,,Profitability Ratios,,,,,,
PBDIT Margin (%),12.64,8.42,4.93,4.27,7.42,,PBDIT Margin (%),11.17,11.98,11.61,12.52,8.48,,PBDIT Margin (%),2.34,7.52,10.09,11.25,11.38,,PBDIT Margin (%),8.82,11.27,10.69,10.94,11.58,
PBIT Margin (%),10.77,6.4,1.46,-0.6,3.59,,PBIT Margin (%),9.03,9.71,9.04,9.95,5.41,,PBIT Margin (%),-1.44,4.47,7.34,8.86,8.64,,PBIT Margin (%),5.92,9.05,8.64,8.59,8.74,
PBT Margin (%),9.88,5.83,2.43,-2.69,2.07,,PBT Margin (%),8.59,9.05,6.6,4.36,3.26,,PBT Margin (%),-0.91,3.77,5.37,7.17,7.27,,PBT Margin (%),3.37,8,8.21,7.87,8.03,
Net Profit Margin (%),6.82,3.81,2.49,-2.05,1.37,,Net Profit Margin (%),6.82,6.51,6.07,2.05,2.46,,Net Profit Margin (%),0.29,3.47,4.4,5.64,5.69,,Net Profit Margin (%),3.08,5.88,6.03,6.1,6.07,
Return on Networth / Equity (%),29.71,16.37,7.38,-4.49,3.29,,Return on Networth / Equity (%),23.8,23.7,19.96,7.2,8.17,,Return on Networth / Equity (%),0.89,13.73,19.55,23.76,18.23,,Return on Networth / Equity (%),9.02,22.06,23.73,23.57,22.67,
Return on Capital Employed (%),35.78,20.09,2.94,-0.91,6.67,,Return on Capital Employed (%),27.81,30.07,16.05,4.94,4.04,,Return on Capital Employed (%),0.35,5.55,8,9.23,6.67,,Return on Capital Employed (%),3.29,14.21,17.2,16.81,14.52,
Return on Assets (%),11.08,6.1,2.66,-1.7,1.46,,Return on Assets (%),10.88,9.9,8.71,3.04,2.51,,Return on Assets (%),0.22,3.31,4.74,5.95,4.55,,Return on Assets (%),2.4,8.41,9.86,8.84,7.65,
Total Debt/Equity (X),0.26,0.38,0.48,0.53,0.42,,Total Debt/Equity (X),0.05,0.08,0.22,0.34,0.63,,Total Debt/Equity (X),1.19,1.11,0.83,0.88,0.95,,Total Debt/Equity (X),0.93,0.42,0.34,0.5,0.77,
Asset Turnover Ratio (%),1.66,1.68,1.12,0.88,106.57,,Asset Turnover Ratio (%),159.42,152.02,143.44,148.25,101.88,,Asset Turnover Ratio (%),77.63,95.3,107.77,105.51,79.88,,Asset Turnover Ratio (%),77.97,142.92,163.34,144.85,125.98,
Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,
Current Ratio (X),0.97,1.06,1,0.9,0.77,,Current Ratio (X),0.93,0.91,0.93,1.06,0.93,,Current Ratio (X),0.84,0.81,0.89,1.06,1.38,,Current Ratio (X),1.46,1.21,1.31,1.24,1.35,
Quick Ratio (X),0.7,0.81,0.78,0.64,0.6,,Quick Ratio (X),0.63,0.71,0.52,0.73,0.65,,Quick Ratio (X),0.58,0.45,0.43,0.47,0.83,,Quick Ratio (X),0.84,0.67,0.76,0.73,0.99,
Inventory Turnover Ratio (X),9.02,11.24,7.55,6.58,14.11,,Inventory Turnover Ratio (X),10.82,14.99,7.65,11.65,9.7,,Inventory Turnover Ratio (X),8.36,6.58,5.76,5.06,4.54,,Inventory Turnover Ratio (X),4.64,6.51,6.88,5.94,7.52,
Dividend Payout Ratio (NP) (%),84.68,21.27,32.5,0,530.32,,Dividend Payout Ratio (NP) (%),43.35,31.98,26.6,39.56,38.25,,Dividend Payout Ratio (NP) (%),0,36.8,47.01,42.14,47.09,,Dividend Payout Ratio (NP) (%),69.92,42.56,44.7,48.81,45.87,
Dividend Payout Ratio (CP) (%),66.45,13.89,13.6,0,139.69,,Dividend Payout Ratio (CP) (%),33.01,23.72,18.69,17.56,17.04,,Dividend Payout Ratio (CP) (%),0,19.6,28.95,29.6,31.78,,Dividend Payout Ratio (CP) (%),36.08,30.86,33.36,35.22,31.22,
Earnings Retention Ratio (%),15.32,78.73,67.5,0,-430.32,,Earnings Retention Ratio (%),56.65,68.02,73.4,60.44,61.75,,Earnings Retention Ratio (%),100,63.2,52.99,57.86,52.91,,Earnings Retention Ratio (%),30.08,57.44,55.3,51.19,54.13,
Cash Earnings Retention Ratio (%),33.55,86.11,86.4,0,-39.69,,Cash Earnings Retention Ratio (%),66.99,76.28,81.31,82.44,82.96,,Cash Earnings Retention Ratio (%),100,80.4,71.05,70.4,68.22,,Cash Earnings Retention Ratio (%),63.92,69.14,66.64,64.78,68.78,
Valuation Ratios,,,,,,,Valuation Ratios,,,,,,,Valuation Ratios,,,,,,,Valuation Ratios,,,,,,
Enterprise Value (Cr.),"49,071.12","43,534.64","36,878.88","36,196.55","14,379.69",,Enterprise Value (Cr.),"25,825.93","42,101.15","24,494.90","31,144.94","22,771.50",,Enterprise Value (Cr.),"10,178.03","9,331.07","10,424.41","9,738.25","9,114.93",,Enterprise Value (Cr.),"4,281.82","5,132.23","5,295.74","5,005.95","2,581.23",
EV/Net Operating Revenue (X),1.28,1.2,1.7,2.37,0.82,,EV/Net Operating Revenue (X),0.89,1.6,1.22,1.64,1.68,,EV/Net Operating Revenue (X),1.02,0.75,0.81,0.87,1.23,,EV/Net Operating Revenue (X),0.69,0.64,0.72,0.93,0.6,
EV/EBITDA (X),10.11,14.29,34.45,55.29,11.09,,EV/EBITDA (X),7.96,13.32,10.47,13.13,19.78,,EV/EBITDA (X),43.67,9.94,8.04,7.74,10.76,,EV/EBITDA (X),7.87,5.71,6.73,8.54,5.22,
MarketCap/Net Operating Revenue (X),1.31,1.13,1.59,2.18,0.72,,MarketCap/Net Operating Revenue (X),0.92,1.61,1.19,1.63,1.54,,MarketCap/Net Operating Revenue (X),0.63,0.47,0.63,0.68,1,,MarketCap/Net Operating Revenue (X),0.39,0.59,0.69,0.92,0.58,
Retention Ratios (%),15.31,78.72,67.49,0,-430.32,,Retention Ratios (%),56.64,68.01,73.39,60.43,61.74,,Retention Ratios (%),100,63.19,52.98,57.85,52.9,,Retention Ratios (%),30.07,57.43,55.29,51.18,54.12,
Price/BV (X),5.7,4.85,4.69,4.77,1.74,,Price/BV (X),3.22,5.87,3.93,5.71,5.11,,Price/BV (X),1.93,1.85,2.78,2.85,3.2,,Price/BV (X),1.14,2.21,2.72,3.54,2.18,
Price/Net Operating Revenue,1.31,1.13,1.59,2.18,0.72,,Price/Net Operating Revenue,0.92,1.61,1.19,1.63,1.54,,Price/Net Operating Revenue,0.63,0.47,0.63,0.68,1,,Price/Net Operating Revenue,0.39,0.59,0.69,0.92,0.58,
Earnings Yield,0.05,0.03,0.02,-0.01,0.02,,Earnings Yield,0.07,0.04,0.05,0.01,0.02,,Earnings Yield,0,0.07,0.07,0.08,0.06,,Earnings Yield,0.08,0.1,0.09,0.07,0.1,
