Key Financial Ratios of Escorts Kubota (in Rs. Cr.),Mar-24,Mar-23,Mar-22,Mar-21,Mar-20,,Key Financial Ratios of Escorts Kubota (in Rs. Cr.),Mar-19,Mar-18,Mar-17,Mar-16,Mar-15,,Key Financial Ratios of Escorts Kubota (in Rs. Cr.),Mar-14,Sep-12,Sep-11,Sep-10,Sep-09,,Key Financial Ratios of Escorts Kubota (in Rs. Cr.),Sep-08,Sep-07,Sep-06,Sep-05,Jun-04,
PBT/Share (Rs.),125.77,61.02,77.45,85.82,52.12,,PBT/Share (Rs.),58.84,41.51,22.58,7.69,5.72,,PBT/Share (Rs.),22.84,7.37,9.83,15.45,11.76,,PBT/Share (Rs.),3.71,-1.51,6.88,5.3,-59,
Net Profit/Share (Rs.),93.86,46,58.03,64.83,39.61,,Net Profit/Share (Rs.),39.56,28.12,13.09,7.49,6.26,,Net Profit/Share (Rs.),20.53,5.84,11.74,13.45,9.89,,Net Profit/Share (Rs.),1.31,-0.77,2.63,5.41,-43.41,
Profitability Ratios,,,,,,,Profitability Ratios,,,,,,,Profitability Ratios,,,,,,,Profitability Ratios,,,,,,
PBDIT Margin (%),17.85,12.71,16.27,18.52,13.33,,PBDIT Margin (%),13.13,12.34,8.97,6.27,5.57,,PBDIT Margin (%),7.35,5.93,5.85,8.63,8.94,,PBDIT Margin (%),6.87,4.99,9.54,18.52,-21.61,
PBIT Margin (%),15.95,10.93,14.46,16.85,11.51,,PBIT Margin (%),11.76,10.89,7.42,4.54,3.91,,PBIT Margin (%),6.03,4.69,4.68,7.23,7.21,,PBIT Margin (%),4.74,2.84,7.31,14.45,-26.59,
PBT Margin (%),15.83,9.64,14.28,16.69,11.08,,PBT Margin (%),11.63,10.18,6.76,2.64,1.71,,PBT Margin (%),4.32,2.25,3.1,5.72,4.89,,PBT Margin (%),1.67,-0.6,2.8,2.95,-38.14,
Net Profit Margin (%),11.81,7.27,10.7,12.61,8.42,,Net Profit Margin (%),7.82,6.9,3.91,2.57,1.87,,Net Profit Margin (%),3.89,1.78,3.7,4.97,4.11,,Net Profit Margin (%),0.58,-0.3,1.07,3.01,-28.06,
Return on Networth / Equity (%),11.25,7.19,9.71,16.21,13.95,,Return on Networth / Equity (%),16.04,13.52,8.05,4.86,4.24,,Return on Networth / Equity (%),13.64,4.43,6.88,8.21,6.55,,Return on Networth / Equity (%),1.61,-0.99,3.51,7.5,-65.06,
Return on Capital Employed (%),14.84,10.58,12.87,21.05,18.46,,Return on Capital Employed (%),23.29,20.76,14.5,4.41,3.64,,Return on Capital Employed (%),11.53,3.61,5.93,6.88,5.41,,Return on Capital Employed (%),0.77,-0.43,1.4,3.86,-26.57,
Return on Assets (%),9.19,5.88,8.16,12.13,9.14,,Return on Assets (%),9.7,8.07,4.56,2.67,2.2,,Return on Assets (%),7.01,2.03,3.82,4.51,3.35,,Return on Assets (%),0.47,-0.24,0.72,1.87,-14.31,
Total Debt/Equity (X),0,0,0,0,0,,Total Debt/Equity (X),0.09,0.01,0.11,0.16,0.23,,Total Debt/Equity (X),0.2,0.29,0.16,0.18,0.19,,Total Debt/Equity (X),0.59,0.69,1.09,1.28,1.86,
Asset Turnover Ratio (%),0.81,0.85,0.86,1.11,108.44,,Asset Turnover Ratio (%),124,116.99,116.5,104.07,117.67,,Asset Turnover Ratio (%),180.13,113.99,103.21,90.75,81.44,,Asset Turnover Ratio (%),79.81,79.43,67.71,62.35,51.01,
Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,
Current Ratio (X),3.16,2.89,5.08,2.77,1.66,,Current Ratio (X),1.45,1.28,1,0.96,0.97,,Current Ratio (X),0.95,0.85,0.99,1.11,0.87,,Current Ratio (X),1.15,1.03,0.88,0.84,0.86,
Quick Ratio (X),2.53,2.2,4.48,2.37,1.18,,Quick Ratio (X),1.01,0.95,0.7,0.66,0.66,,Quick Ratio (X),0.55,0.51,0.7,0.82,0.68,,Quick Ratio (X),0.94,0.9,0.74,0.72,0.75,
Inventory Turnover Ratio (X),4.85,5.83,6.08,5.38,7.01,,Inventory Turnover Ratio (X),7.54,9.23,9.53,8.9,9.58,,Inventory Turnover Ratio (X),11.42,7.84,9.89,9.35,10.92,,Inventory Turnover Ratio (X),9.96,13.2,10.28,10.31,9.31,
Dividend Payout Ratio (NP) (%),7.36,12.56,9.63,2.8,4.41,,Dividend Payout Ratio (NP) (%),4.92,5.2,8.94,16.45,19.68,,Dividend Payout Ratio (NP) (%),9,21.13,13.19,11.77,10.1,,Dividend Payout Ratio (NP) (%),0,0,0,0,0,
Dividend Payout Ratio (CP) (%),6.34,10.09,8.23,2.47,3.63,,Dividend Payout Ratio (CP) (%),4.19,4.29,6.42,9.84,10.44,,Dividend Payout Ratio (CP) (%),6.72,12.46,10.02,9.16,6.94,,Dividend Payout Ratio (CP) (%),0,0,0,0,0,
Earnings Retention Ratio (%),92.64,87.44,90.37,97.2,95.59,,Earnings Retention Ratio (%),95.08,94.8,91.06,83.55,80.32,,Earnings Retention Ratio (%),91,78.87,86.81,88.23,89.9,,Earnings Retention Ratio (%),0,0,0,0,0,
Cash Earnings Retention Ratio (%),93.66,89.91,91.77,97.53,96.37,,Cash Earnings Retention Ratio (%),95.81,95.71,93.58,90.16,89.56,,Cash Earnings Retention Ratio (%),93.28,87.54,89.98,90.84,93.06,,Cash Earnings Retention Ratio (%),0,0,0,0,0,
Valuation Ratios,,,,,,,Valuation Ratios,,,,,,,Valuation Ratios,,,,,,,Valuation Ratios,,,,,,
Enterprise Value (Cr.),"29,538.86","24,493.27","22,057.87","16,061.04","7,814.56",,Enterprise Value (Cr.),"9,807.10","9,733.11","6,592.71","1,719.40","1,687.58",,Enterprise Value (Cr.),"1,563.02","1,091.50",806.76,"2,329.86","1,101.24",,Enterprise Value (Cr.),868.18,"1,263.66","1,284.39","1,254.87","1,271.73",
EV/Net Operating Revenue (X),3.37,2.94,3.08,2.32,1.36,,EV/Net Operating Revenue (X),1.58,1.95,1.61,0.5,0.42,,EV/Net Operating Revenue (X),0.25,0.28,0.25,0.84,0.51,,EV/Net Operating Revenue (X),0.43,0.6,0.72,0.97,1.14,
EV/EBITDA (X),18.85,23.09,18.94,12.51,10.17,,EV/EBITDA (X),12.05,15.78,17.96,7.9,7.6,,EV/EBITDA (X),3.38,4.72,4.25,9.77,5.65,,EV/EBITDA (X),6.27,12.09,7.59,5.22,-5.27,
MarketCap/Net Operating Revenue (X),3.5,2.99,3.12,2.51,1.41,,MarketCap/Net Operating Revenue (X),1.58,2.01,1.61,0.48,0.38,,MarketCap/Net Operating Revenue (X),0.22,0.2,0.22,0.8,0.46,,MarketCap/Net Operating Revenue (X),0.27,0.47,0.51,0.57,0.36,
Retention Ratios (%),92.63,87.43,90.36,97.19,95.58,,Retention Ratios (%),95.07,94.79,91.05,83.54,80.31,,Retention Ratios (%),90.99,78.86,86.8,88.22,89.89,,Retention Ratios (%),0,0,0,0,0,
Price/BV (X),3.33,2.96,2.83,3.22,2.34,,Price/BV (X),3.23,3.94,3.32,0.9,0.86,,Price/BV (X),0.77,0.49,0.42,1.32,0.73,,Price/BV (X),0.74,1.53,1.68,1.41,0.84,
Price/Net Operating Revenue,3.5,2.99,3.12,2.51,1.41,,Price/Net Operating Revenue,1.58,2.01,1.61,0.48,0.38,,Price/Net Operating Revenue,0.22,0.2,0.22,0.8,0.46,,Price/Net Operating Revenue,0.27,0.47,0.51,0.57,0.36,
Earnings Yield,0.03,0.02,0.03,0.05,0.06,,Earnings Yield,0.05,0.03,0.02,0.05,0.05,,Earnings Yield,0.18,0.09,0.17,0.06,0.09,,Earnings Yield,0.02,-0.01,0.02,0.05,-0.78,
