Key Financial Ratios of Supreme Industries (in Rs. Cr.),Mar-24,Mar-23,Mar-22,Mar-21,Mar-20,,Key Financial Ratios of Supreme Industries (in Rs. Cr.),Mar-19,Mar-18,Mar-17,Mar-16,Jun-15,,Key Financial Ratios of Supreme Industries (in Rs. Cr.),Jun-14,Jun-13,Jun-12,Jun-11,Jun-10,,Key Financial Ratios of Supreme Industries (in Rs. Cr.),Jun-09,Jun-08,Jun-07,Jun-06,Jun-05,
PBT/Share (Rs.),106.4,79.53,84.63,84.84,49.42,,PBT/Share (Rs.),53.27,48.43,46.05,26.05,37.45,,PBT/Share (Rs.),33.17,31.91,27.99,20.61,86.29,,PBT/Share (Rs.),55.07,26.68,22.69,23.9,18.63,
Net Profit/Share (Rs.),79.98,60.17,63.9,63.08,39.07,,Net Profit/Share (Rs.),36.29,32.24,29.85,16.78,24.85,,Net Profit/Share (Rs.),22.15,21.44,18.93,13.77,57.01,,Net Profit/Share (Rs.),38.33,18.5,18.16,28.93,17.66,
Profitability Ratios,,,,,,,Profitability Ratios,,,,,,,Profitability Ratios,,,,,,,Profitability Ratios,,,,,,
PBDIT Margin (%),16.44,13.93,16.85,20.45,15.49,,PBDIT Margin (%),14.33,16.19,17.24,15.82,15.8,,PBDIT Margin (%),15.11,15.85,16.28,14.86,15.02,,PBDIT Margin (%),14.8,11.48,11.44,10.01,10.62,
PBIT Margin (%),13.49,11.06,13.89,17.1,11.75,,PBIT Margin (%),11.06,12.83,13.79,12.3,12.54,,PBIT Margin (%),12.55,13.44,13.83,12.32,12.39,,PBIT Margin (%),11.62,8.47,7.97,5.8,5.79,
PBT Margin (%),13.33,10.98,13.83,16.95,11.39,,PBT Margin (%),12.06,12.38,13.11,11.12,11.18,,PBT Margin (%),10.63,11.91,11.99,10.6,10.9,,PBT Margin (%),8.46,5.62,5.39,3.36,3.06,
Net Profit Margin (%),10.02,8.3,10.44,12.6,9,,Net Profit Margin (%),8.21,8.24,8.5,7.16,7.42,,Net Profit Margin (%),7.1,8,8.11,7.08,7.2,,Net Profit Margin (%),5.89,3.9,4.31,4.06,2.9,
Return on Networth / Equity (%),22.58,19.88,23.96,27.93,23.27,,Return on Networth / Equity (%),23.13,23.63,24.41,17.44,28.09,,Return on Networth / Equity (%),29.19,33.99,37.57,35.84,38.43,,Return on Networth / Equity (%),34.13,20.63,22.45,20.24,11.39,
Return on Capital Employed (%),29.27,25.45,30.52,36.07,28.47,,Return on Capital Employed (%),29.12,34.21,36.18,15.14,36.61,,Return on Capital Employed (%),20.72,23.93,28.57,22.18,21.53,,Return on Capital Employed (%),14.37,8.23,10.02,10.21,5.49,
Return on Assets (%),17.09,14.87,17.88,20.12,14.39,,Return on Assets (%),15.02,14.76,14.23,9.17,13.91,,Return on Assets (%),13.38,13.92,16.28,11.92,12.59,,Return on Assets (%),9.42,5.09,6.32,6.11,4.15,
Total Debt/Equity (X),0,0,0,0,0.19,,Total Debt/Equity (X),0.08,0.13,0.15,0.19,0.29,,Total Debt/Equity (X),0.4,0.51,0.4,0.92,0.61,,Total Debt/Equity (X),0.87,1.21,1.02,1.2,1.19,
Asset Turnover Ratio (%),1.83,1.9,1.82,159.61,159.82,,Asset Turnover Ratio (%),182.83,178.99,167.44,128.01,187.5,,Asset Turnover Ratio (%),188.42,174,200.81,168.26,174.79,,Asset Turnover Ratio (%),159.8,130.68,146.39,150.3,143.18,
Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,
Current Ratio (X),2.58,2.53,2.47,2.13,1.37,,Current Ratio (X),1.43,1.38,1.32,1.05,1.25,,Current Ratio (X),1.2,0.99,0.96,0.93,1.13,,Current Ratio (X),1.03,1.14,1.04,0.99,1.66,
Quick Ratio (X),1.51,1.31,1.21,1.35,0.61,,Quick Ratio (X),0.63,0.62,0.52,0.44,0.67,,Quick Ratio (X),0.53,0.42,0.46,0.42,0.52,,Quick Ratio (X),0.56,0.73,0.67,0.62,1.12,
Inventory Turnover Ratio (X),4.93,4.86,5.37,8.36,6.19,,Inventory Turnover Ratio (X),7.48,7.13,5.74,5.33,9.16,,Inventory Turnover Ratio (X),7.96,7.29,9.44,7.15,6.92,,Inventory Turnover Ratio (X),9.82,8.36,10.54,9.99,10.91,
Dividend Payout Ratio (NP) (%),35,39.87,35.98,7.92,43.18,,Dividend Payout Ratio (NP) (%),43.17,55.99,12.09,44.7,36.21,,Dividend Payout Ratio (NP) (%),36.11,34.98,31.68,31.21,31.57,,Dividend Payout Ratio (NP) (%),31.3,43.23,41.3,34.56,50.96,
Dividend Payout Ratio (CP) (%),27.05,29.66,28.05,6.26,30.53,,Dividend Payout Ratio (CP) (%),30.88,39.76,8.59,29.99,25.14,,Dividend Payout Ratio (CP) (%),26.53,26.9,24.35,22.96,23.12,,Dividend Payout Ratio (CP) (%),20.33,24.38,22.91,16.98,19.14,
Earnings Retention Ratio (%),65,60.13,64.02,92.08,56.82,,Earnings Retention Ratio (%),56.83,44.01,87.91,55.3,63.79,,Earnings Retention Ratio (%),63.89,65.02,68.32,68.79,68.43,,Earnings Retention Ratio (%),68.7,56.77,58.7,65.44,49.04,
Cash Earnings Retention Ratio (%),72.95,70.34,71.95,93.74,69.47,,Cash Earnings Retention Ratio (%),69.12,60.24,91.41,70.01,74.86,,Cash Earnings Retention Ratio (%),73.47,73.1,75.65,77.04,76.88,,Cash Earnings Retention Ratio (%),79.67,75.62,77.09,83.02,80.86,
Valuation Ratios,,,,,,,Valuation Ratios,,,,,,,Valuation Ratios,,,,,,,Valuation Ratios,,,,,,
Enterprise Value (Cr.),"52,527.32","31,165.27","25,438.45","25,120.71","11,216.53",,Enterprise Value (Cr.),"14,277.68","15,326.71","14,006.98","9,578.71","8,712.12",,Enterprise Value (Cr.),"6,979.09","4,674.55","3,067.48","2,732.49","1,643.42",,Enterprise Value (Cr.),880.96,755.36,858.09,666.27,612.89,
EV/Net Operating Revenue (X),5.18,3.39,3.27,3.95,2.04,,EV/Net Operating Revenue (X),2.54,3.09,3.14,3.22,2.05,,EV/Net Operating Revenue (X),1.76,1.37,1.03,1.11,0.82,,EV/Net Operating Revenue (X),0.53,0.58,0.74,0.68,0.75,
EV/EBITDA (X),31.52,24.31,19.42,19.32,13.14,,EV/EBITDA (X),17.75,19.06,18.2,20.35,12.95,,EV/EBITDA (X),11.65,8.67,6.35,7.44,5.44,,EV/EBITDA (X),3.6,5.02,6.45,6.78,7.09,
MarketCap/Net Operating Revenue (X),5.3,3.47,3.34,4.07,2,,MarketCap/Net Operating Revenue (X),2.52,3.05,3.11,3.15,2.01,,MarketCap/Net Operating Revenue (X),1.67,1.26,0.95,0.93,0.71,,MarketCap/Net Operating Revenue (X),0.39,0.37,0.55,0.44,0.46,
Retention Ratios (%),64.99,60.12,64.01,92.07,56.81,,Retention Ratios (%),56.82,44,87.9,55.29,63.78,,Retention Ratios (%),63.88,65.01,68.31,68.78,68.42,,Retention Ratios (%),68.69,56.76,58.69,65.43,49.03,
Price/BV (X),11.94,8.3,7.66,9.02,5.17,,Price/BV (X),7.1,8.73,8.92,7.68,7.62,,Price/BV (X),6.87,5.35,4.42,4.71,3.8,,Price/BV (X),2.25,1.95,2.88,2.21,1.8,
Price/Net Operating Revenue,5.3,3.47,3.34,4.07,2,,Price/Net Operating Revenue,2.52,3.05,3.11,3.15,2.01,,Price/Net Operating Revenue,1.67,1.26,0.95,0.93,0.71,,Price/Net Operating Revenue,0.39,0.37,0.55,0.44,0.46,
Earnings Yield,0.02,0.02,0.03,0.03,0.04,,Earnings Yield,0.03,0.03,0.03,0.02,0.04,,Earnings Yield,0.04,0.06,0.09,0.08,0.1,,Earnings Yield,0.15,0.11,0.08,0.09,0.06,
