Key Financial Ratios of APL Apollo Tubes (in Rs. Cr.),Mar-24,Mar-23,Mar-22,Mar-21,Mar-20,,Key Financial Ratios of APL Apollo Tubes (in Rs. Cr.),Mar-19,Mar-18,Mar-17,Mar-16,Mar-15,,Key Financial Ratios of APL Apollo Tubes (in Rs. Cr.),Mar-14,Mar-13,Mar-12,Mar-11,Mar-10,,Key Financial Ratios of APL Apollo Tubes (in Rs. Cr.),Mar-09,Mar-08,Mar-07,Mar-06,Mar-05,
Current Ratio (X),1,0.93,1.17,1.16,1.15,,Current Ratio (X),0.99,0.89,0.87,1.04,0.96,,Current Ratio (X),1.11,1.07,1.2,1.14,1.57,,Current Ratio (X),1.69,1.75,1.23,1.25,3.14,
Quick Ratio (X),0.32,0.29,0.58,0.61,0.51,,Quick Ratio (X),0.46,0.41,0.45,0.55,0.47,,Quick Ratio (X),0.62,0.58,0.78,0.65,1.12,,Quick Ratio (X),1.48,1.09,0.6,0.66,3.14,
Inventory Turnover Ratio (X),10.21,13.47,11.4,10.92,10.05,,Inventory Turnover Ratio (X),8.63,8.61,8.57,11.42,11,,Inventory Turnover Ratio (X),11.38,9.06,11.66,6.06,6.38,,Inventory Turnover Ratio (X),12.45,5.29,6.21,7.56,0,
Dividend Payout Ratio (NP) (%),30.56,17.11,0,0,0,,Dividend Payout Ratio (NP) (%),26.28,25.12,26.53,76.02,44.71,,Dividend Payout Ratio (NP) (%),44.75,32.2,14.82,15.99,23.54,,Dividend Payout Ratio (NP) (%),0,0,4.73,0,0,
Dividend Payout Ratio (CP) (%),25.03,14.25,0,0,0,,Dividend Payout Ratio (CP) (%),18.5,18.06,18.29,47.35,32.35,,Dividend Payout Ratio (CP) (%),32.5,26.24,12.18,13.48,20.41,,Dividend Payout Ratio (CP) (%),0,0,4.3,0,0,
Earnings Retention Ratio (%),69.44,82.89,0,0,0,,Earnings Retention Ratio (%),73.72,74.88,73.47,23.98,55.29,,Earnings Retention Ratio (%),55.25,67.8,85.18,84.01,76.46,,Earnings Retention Ratio (%),100,100,95.27,100,100,
Cash Earnings Retention Ratio (%),74.97,85.75,0,0,0,,Cash Earnings Retention Ratio (%),81.5,81.94,81.71,52.65,67.65,,Cash Earnings Retention Ratio (%),67.5,73.76,87.82,86.52,79.59,,Cash Earnings Retention Ratio (%),100,100,95.7,100,100,
Valuation Ratios,,,,,,,Valuation Ratios,,,,,,,Valuation Ratios,,,,,,,Valuation Ratios,,,,,,
Enterprise Value (Cr.),"41,556.34","33,530.31","23,044.63","17,581.28","3,549.90",,Enterprise Value (Cr.),"4,000.72","5,371.87","3,199.01","1,982.36","1,286.64",,Enterprise Value (Cr.),815.84,659.68,567.37,408.89,306.34,,Enterprise Value (Cr.),114.85,210.48,79.85,0,0,
EV/Net Operating Revenue (X),3,2.35,2.54,2.93,0.6,,EV/Net Operating Revenue (X),0.68,1.24,1.03,0.66,0.64,,EV/Net Operating Revenue (X),0.4,0.41,0.52,0.69,0.81,,EV/Net Operating Revenue (X),0.3,0.76,0.4,0,0,
EV/EBITDA (X),54.51,39.96,46.7,53.59,13.4,,EV/EBITDA (X),12.13,19.87,14.16,14.74,12.1,,EV/EBITDA (X),8.54,6.96,7.78,7.02,7.71,,EV/EBITDA (X),8.96,7.2,5.7,0,0,
MarketCap/Net Operating Revenue (X),2.99,2.34,2.52,2.91,0.52,,MarketCap/Net Operating Revenue (X),0.59,1.09,0.89,0.52,0.47,,MarketCap/Net Operating Revenue (X),0.23,0.23,0.35,0.45,0.6,,MarketCap/Net Operating Revenue (X),0.18,0.53,0.18,0,0,
Retention Ratios (%),69.43,82.88,0,0,0,,Retention Ratios (%),73.71,74.87,73.46,23.97,55.28,,Retention Ratios (%),55.24,67.79,85.17,84,76.45,,Retention Ratios (%),100,100,95.26,100,100,
Price/BV (X),14.36,12.99,13.11,12.07,2.43,,Price/BV (X),3.41,5.23,3.41,4.49,2.75,,Price/BV (X),1.43,1.23,1.42,1.17,1.15,,Price/BV (X),0.39,2.43,2.28,0,0,
Price/Net Operating Revenue,2.99,2.34,2.52,2.91,0.52,,Price/Net Operating Revenue,0.59,1.09,0.89,0.52,0.47,,Price/Net Operating Revenue,0.23,0.23,0.35,0.45,0.6,,Price/Net Operating Revenue,0.18,0.53,0.18,0,0,
Earnings Yield,0.01,0.02,0.01,0.01,0.04,,Earnings Yield,0.04,0.02,0.03,0.02,0.03,,Earnings Yield,0.06,0.09,0.08,0.1,0.08,,Earnings Yield,0,0.1,0.19,0,0,
