Key Financial Ratios of Elecon Engineering Company (in Rs. Cr.),Mar-24,Mar-23,Mar-22,Mar-21,Mar-20,,Key Financial Ratios of Elecon Engineering Company (in Rs. Cr.),Mar-19,Mar-18,Mar-17,Mar-16,Mar-15,,Key Financial Ratios of Elecon Engineering Company (in Rs. Cr.),Mar-14,Mar-13,Mar-12,Mar-11,Mar-10,,Key Financial Ratios of Elecon Engineering Company (in Rs. Cr.),Mar-09,Mar-08,Mar-07,Mar-06,Mar-05,
PBT Margin (%),25.38,20.58,13.97,7.31,0.15,,PBT Margin (%),2.92,0.55,5.68,5.66,9.46,,PBT Margin (%),7.77,2.53,8.24,10.25,8.64,,PBT Margin (%),9.21,11.95,11.94,9.31,6.38,
Net Profit Margin (%),18.95,15.71,10.79,4.55,8.66,,Net Profit Margin (%),1.26,0.88,2.28,3.72,6.59,,Net Profit Margin (%),5.47,1.43,5.22,7.48,6.4,,Net Profit Margin (%),5.74,8.14,7.62,6.11,3.58,
Return on Networth / Equity (%),22.49,17.43,10.52,4.42,9.25,,Return on Networth / Equity (%),1.63,1.1,2.88,5.04,6.5,,Return on Networth / Equity (%),5.57,1.8,15.64,22.28,20.52,,Return on Networth / Equity (%),19.96,28.38,29.21,27.19,13.35,
Return on Capital Employed (%),28.68,22.79,16.05,11.42,7.46,,Return on Capital Employed (%),8.82,7.58,12.88,3.97,5.21,,Return on Capital Employed (%),4.57,1.38,11.22,14.97,12.98,,Return on Capital Employed (%),10.5,19.59,19.84,14.05,7.94,
Return on Assets (%),17.22,13.29,6.65,2.13,3.94,,Return on Assets (%),0.62,0.41,1.13,1.84,3.14,,Return on Assets (%),2.58,0.78,4.14,5.99,5.15,,Return on Assets (%),4.12,6.62,7.36,5.19,2.87,
Total Debt/Equity (X),0,0,0.11,0.25,0.43,,Total Debt/Equity (X),0.61,0.63,0.58,0.74,0.45,,Total Debt/Equity (X),0.47,0.45,1.06,1.17,1.6,,Total Debt/Equity (X),2.15,1.73,1.51,2,1.31,
Asset Turnover Ratio (%),1.01,0.84,0.56,46.79,45.51,,Asset Turnover Ratio (%),48.98,46.61,49.67,49.57,47.66,,Asset Turnover Ratio (%),47.17,55.15,79.29,80,80.52,,Asset Turnover Ratio (%),71.8,81.32,96.63,84.93,80.11,
Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,
Current Ratio (X),2.92,2.31,1.47,1.29,1.15,,Current Ratio (X),1.17,1.03,0.96,0.98,1.2,,Current Ratio (X),1.3,1.29,1.05,1.04,1.18,,Current Ratio (X),1.25,1.21,1.3,1.28,1.23,
Quick Ratio (X),2.44,1.69,1.08,1.05,0.9,,Quick Ratio (X),0.9,0.83,0.71,0.73,0.89,,Quick Ratio (X),1.04,0.97,0.78,0.68,0.78,,Quick Ratio (X),0.75,0.83,0.94,0.8,0.68,
Inventory Turnover Ratio (X),4.26,3.04,2.52,4.52,3.66,,Inventory Turnover Ratio (X),3.99,4.54,3.98,3.73,3.86,,Inventory Turnover Ratio (X),4.13,4,4.62,3.73,3.32,,Inventory Turnover Ratio (X),2.39,3.27,4.26,2.79,2.27,
Dividend Payout Ratio (NP) (%),11.1,8.34,4.69,0,3.09,,Dividend Payout Ratio (NP) (%),18.58,69.39,56.89,32.81,36.1,,Dividend Payout Ratio (NP) (%),39.71,127.78,24.01,19.01,20.8,,Dividend Payout Ratio (NP) (%),25.33,20.72,8.44,10.97,14.42,
Dividend Payout Ratio (CP) (%),9.77,6.9,3.35,0,1.93,,Dividend Payout Ratio (CP) (%),4.03,9.99,17.31,12.99,14.13,,Dividend Payout Ratio (CP) (%),14.95,21.56,14.92,13.13,13.82,,Dividend Payout Ratio (CP) (%),17.96,17.11,6.91,8.2,7.83,
Earnings Retention Ratio (%),88.9,91.66,95.31,0,96.91,,Earnings Retention Ratio (%),81.42,30.61,43.11,67.19,63.9,,Earnings Retention Ratio (%),60.29,-27.78,75.99,80.99,79.2,,Earnings Retention Ratio (%),74.67,79.28,91.56,89.03,85.58,
Cash Earnings Retention Ratio (%),90.23,93.1,96.65,0,98.07,,Cash Earnings Retention Ratio (%),95.97,90.01,82.69,87.01,85.87,,Cash Earnings Retention Ratio (%),85.05,78.44,85.08,86.87,86.18,,Cash Earnings Retention Ratio (%),82.04,82.89,93.09,91.8,92.17,
Valuation Ratios,,,,,,,Valuation Ratios,,,,,,,Valuation Ratios,,,,,,,Valuation Ratios,,,,,,
Enterprise Value (Cr.),"10,540.97","4,149.24","1,674.93",865.98,524.19,,Enterprise Value (Cr.),"1,152.81","1,287.44","1,008.72","1,111.04",951.25,,Enterprise Value (Cr.),595.62,490.65,"1,030.09","1,080.62","1,156.47",,Enterprise Value (Cr.),819.82,"2,158.68","1,476.76",967.83,184.69,
EV/Net Operating Revenue (X),6.59,3.47,1.89,1.09,0.63,,EV/Net Operating Revenue (X),1.21,1.41,1.09,1.13,1.89,,EV/Net Operating Revenue (X),1.19,0.82,0.77,0.92,1.11,,EV/Net Operating Revenue (X),0.86,2.62,2.05,2.12,0.68,
EV/EBITDA (X),23.25,13.97,8.64,5.59,4.57,,EV/EBITDA (X),8.51,10.74,6.16,6.4,7.36,,EV/EBITDA (X),5.06,4.31,4.9,5.15,6.63,,EV/EBITDA (X),5.17,15.39,12.55,14.68,5.29,
MarketCap/Net Operating Revenue (X),6.66,3.58,1.82,0.89,0.26,,MarketCap/Net Operating Revenue (X),0.74,0.95,0.64,0.61,1.44,,MarketCap/Net Operating Revenue (X),0.73,0.48,0.43,0.54,0.64,,MarketCap/Net Operating Revenue (X),0.3,2.13,1.67,1.72,0.36,
Retention Ratios (%),88.89,91.65,95.3,0,96.9,,Retention Ratios (%),81.41,30.6,43.1,67.18,63.89,,Retention Ratios (%),60.28,-27.78,75.98,80.98,79.19,,Retention Ratios (%),74.66,79.27,91.55,89.02,85.57,
Price/BV (X),7.91,3.97,1.78,0.87,0.27,,Price/BV (X),0.96,1.18,0.81,0.82,1.42,,Price/BV (X),0.75,0.61,1.28,1.6,2.07,,Price/BV (X),1.05,7.42,6.42,7.66,1.32,
Price/Net Operating Revenue,6.66,3.58,1.82,0.89,0.26,,Price/Net Operating Revenue,0.74,0.95,0.64,0.61,1.44,,Price/Net Operating Revenue,0.73,0.48,0.43,0.54,0.64,,Price/Net Operating Revenue,0.3,2.13,1.67,1.72,0.36,
Earnings Yield,0.03,0.04,0.06,0.05,0.34,,Earnings Yield,0.02,0.01,0.04,0.06,0.05,,Earnings Yield,0.07,0.03,0.12,0.14,0.1,,Earnings Yield,0.19,0.04,0.05,0.04,0.1,
