Key Financial Ratios of Kirloskar Brothers (in Rs. Cr.),Mar-24,Mar-23,Mar-22,Mar-21,Mar-20,,Key Financial Ratios of Kirloskar Brothers (in Rs. Cr.),Mar-19,Mar-18,Mar-17,Mar-16,Mar-15,,Key Financial Ratios of Kirloskar Brothers (in Rs. Cr.),Mar-14,Mar-13,Mar-12,Mar-11,Mar-10,,Key Financial Ratios of Kirloskar Brothers (in Rs. Cr.),Mar-09,Mar-08,Mar-07,Mar-06,Mar-05,
Net Profit Margin (%),8.94,6,3.6,5.17,3.77,,Net Profit Margin (%),3.92,3.42,1.9,0.71,0.52,,Net Profit Margin (%),2.72,2.32,1.75,3.15,5.82,,Net Profit Margin (%),3.66,7.23,25.13,18.73,6.97,
Return on Networth / Equity (%),16.76,12.19,6.94,8.72,8.1,,Return on Networth / Equity (%),9.28,7.32,3.93,1.46,1.06,,Return on Networth / Equity (%),5.96,5.58,4.13,8.25,16.47,,Return on Networth / Equity (%),9.45,16.63,55.89,54.83,26.66,
Return on Capital Employed (%),21.09,16.72,11.61,13.27,14.2,,Return on Capital Employed (%),14.64,11.72,8.86,1.22,0.91,,Return on Capital Employed (%),5.29,4.93,3.41,6.6,15.02,,Return on Capital Employed (%),8.98,14.98,50.56,50.56,22.06,
Return on Assets (%),9.51,6.39,3.3,4.14,3.38,,Return on Assets (%),4.01,3.17,1.69,0.6,0.44,,Return on Assets (%),2.7,2.27,1.61,2.88,5.62,,Return on Assets (%),3.35,6.63,24.29,19.41,7.94,
Total Debt/Equity (X),0.03,0.09,0.21,0.11,0.29,,Total Debt/Equity (X),0.16,0.17,0.23,0.32,0.3,,Total Debt/Equity (X),0.28,0.29,0.43,0.43,0.5,,Total Debt/Equity (X),0.45,0.29,0.23,0.08,0.35,
Asset Turnover Ratio (%),1.1,1.07,0.94,80.05,89.64,,Asset Turnover Ratio (%),102.31,92.65,89.24,85.37,84.31,,Asset Turnover Ratio (%),99.18,98.12,92.09,91.46,96.53,,Asset Turnover Ratio (%),91.69,91.63,96.63,103.61,114.04,
Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,
Current Ratio (X),1.65,1.54,1.42,1.23,1.22,,Current Ratio (X),1.23,1.23,1.12,1.12,1.12,,Current Ratio (X),1.18,1.14,1.15,1.12,1.22,,Current Ratio (X),1.1,1.2,1.22,1.25,1.21,
Quick Ratio (X),1.16,1.09,1.02,0.89,0.88,,Quick Ratio (X),0.91,0.93,0.85,0.91,0.93,,Quick Ratio (X),1.03,0.96,0.94,0.96,1.08,,Quick Ratio (X),0.97,1.06,1.1,1.13,1.09,
Inventory Turnover Ratio (X),3.02,3.09,3.04,4.81,5,,Inventory Turnover Ratio (X),6.06,6.12,6.69,8.03,8.66,,Inventory Turnover Ratio (X),13.26,10.21,8.49,10.1,11.26,,Inventory Turnover Ratio (X),11.75,11.44,15.37,14,15.02,
Dividend Payout Ratio (NP) (%),14.68,15.61,30.47,4.25,53.14,,Dividend Payout Ratio (NP) (%),26.51,13.79,27.41,33.62,46.77,,Dividend Payout Ratio (NP) (%),41.6,36.53,50.87,45.25,37.12,,Dividend Payout Ratio (NP) (%),31.55,38.41,12.57,24.54,41.69,
Dividend Payout Ratio (CP) (%),12.21,12.21,20.04,3.01,35.29,,Dividend Payout Ratio (CP) (%),18.68,8.97,12.44,7.82,6.82,,Dividend Payout Ratio (CP) (%),24.1,21.02,25.82,30.38,30.3,,Dividend Payout Ratio (CP) (%),24.1,32.96,12.13,23.23,34.83,
Earnings Retention Ratio (%),85.32,84.39,69.53,95.75,46.86,,Earnings Retention Ratio (%),73.49,86.21,72.59,66.38,53.23,,Earnings Retention Ratio (%),58.4,63.47,49.13,54.75,62.88,,Earnings Retention Ratio (%),68.45,61.59,87.43,75.46,58.31,
Cash Earnings Retention Ratio (%),87.79,87.79,79.96,96.99,64.71,,Cash Earnings Retention Ratio (%),81.32,91.03,87.56,92.18,93.18,,Cash Earnings Retention Ratio (%),75.9,78.98,74.18,69.62,69.7,,Cash Earnings Retention Ratio (%),75.9,67.04,87.87,76.77,65.17,
Valuation Ratios,,,,,,,Valuation Ratios,,,,,,,Valuation Ratios,,,,,,,Valuation Ratios,,,,,,
Enterprise Value (Cr.),"8,657.06","3,205.81","2,326.97","1,955.76",793.38,,Enterprise Value (Cr.),"1,410.75","2,534.11","2,177.26","1,170.86","1,752.13",,Enterprise Value (Cr.),"1,499.46","1,388.86","1,298.45","1,319.13","2,333.63",,Enterprise Value (Cr.),"1,126.41","2,572.24","3,918.45","4,101.82",648.37,
EV/Net Operating Revenue (X),3.18,1.26,1.07,1.09,0.38,,EV/Net Operating Revenue (X),0.63,1.33,1.25,0.71,1.08,,EV/Net Operating Revenue (X),0.86,0.74,0.73,0.68,1.16,,EV/Net Operating Revenue (X),0.62,1.69,2.93,4.46,0.89,
EV/EBITDA (X),22.9,11.56,12.08,10.22,4.04,,EV/EBITDA (X),7.54,16.59,17.49,14.18,18.15,,EV/EBITDA (X),9.51,9.37,10.17,7.4,10.02,,EV/EBITDA (X),7.55,13.89,18.21,21.08,9.3,
MarketCap/Net Operating Revenue (X),3.23,1.28,1.04,1.06,0.34,,MarketCap/Net Operating Revenue (X),0.58,1.28,1.16,0.57,0.94,,MarketCap/Net Operating Revenue (X),0.74,0.63,0.56,0.54,1.03,,MarketCap/Net Operating Revenue (X),0.45,1.61,2.86,4.48,0.88,
Retention Ratios (%),85.31,84.38,69.52,95.74,46.85,,Retention Ratios (%),73.48,86.2,72.58,66.37,53.22,,Retention Ratios (%),58.39,63.46,49.12,54.74,62.87,,Retention Ratios (%),68.44,61.58,87.42,75.45,58.3,
Price/BV (X),6.04,2.59,2,1.78,0.72,,Price/BV (X),1.38,2.73,2.4,1.17,1.92,,Price/BV (X),1.62,1.51,1.32,1.42,2.91,,Price/BV (X),1.15,3.71,6.36,13.12,3.37,
Price/Net Operating Revenue,3.23,1.28,1.04,1.06,0.34,,Price/Net Operating Revenue,0.58,1.28,1.16,0.57,0.94,,Price/Net Operating Revenue,0.74,0.63,0.56,0.54,1.03,,Price/Net Operating Revenue,0.45,1.61,2.86,4.48,0.88,
Earnings Yield,0.03,0.05,0.03,0.05,0.11,,Earnings Yield,0.07,0.03,0.02,0.01,0.01,,Earnings Yield,0.04,0.04,0.03,0.06,0.06,,Earnings Yield,0.08,0.04,0.09,0.04,0.08,
