Key Financial Ratios of Cummins India (in Rs. Cr.),Mar-24,Mar-23,Mar-22,Mar-21,Mar-20,,Key Financial Ratios of Cummins India (in Rs. Cr.),Mar-19,Mar-18,Mar-17,Mar-16,Mar-15,,Key Financial Ratios of Cummins India (in Rs. Cr.),Mar-14,Mar-13,Mar-12,Mar-11,Mar-10,,Key Financial Ratios of Cummins India (in Rs. Cr.),Mar-09,Mar-08,Mar-07,Mar-06,Mar-05,
PBT/Share (Rs.),77.31,53.83,41.83,29.15,27.38,,PBT/Share (Rs.),37.17,32.77,32.76,32.84,33.82,,PBT/Share (Rs.),29.49,37.93,29.75,40.52,30.85,,PBT/Share (Rs.),28.31,20,17.47,12.42,9.36,
Net Profit/Share (Rs.),59.91,40.76,31.99,22.29,22.7,,Net Profit/Share (Rs.),26.07,25.56,26.5,27.21,28.35,,Net Profit/Share (Rs.),21.65,27.57,21.33,29.85,22.42,,Net Profit/Share (Rs.),21.9,14.18,12.22,8.87,6.93,
Profitability Ratios,,,,,,,Profitability Ratios,,,,,,,Profitability Ratios,,,,,,,Profitability Ratios,,,,,,
PBDIT Margin (%),25.99,21.46,19.09,21.93,17.79,,PBDIT Margin (%),20.44,18.9,19.88,21.25,23.18,,PBDIT Margin (%),21.98,22.69,19.93,20.87,22.76,,PBDIT Margin (%),18.29,18.1,20.26,18.76,18.25,
PBIT Margin (%),24.23,19.65,16.91,19.03,15.49,,PBIT Margin (%),18.49,17.06,18.21,19.53,21.37,,PBIT Margin (%),20.66,21.66,18.91,19.96,21.5,,PBIT Margin (%),16.92,16.71,18.52,16.51,15.32,
PBT Margin (%),23.92,19.26,18.88,18.66,14.71,,PBT Margin (%),18.2,17.87,17.88,19.33,21.27,,PBT Margin (%),20.55,22.9,20.02,19.84,21.42,,PBT Margin (%),16.84,16.68,18.44,16.45,15.22,
Net Profit Margin (%),18.53,14.58,14.43,14.27,12.2,,Net Profit Margin (%),12.76,13.93,14.46,16.01,17.83,,Net Profit Margin (%),15.08,16.64,14.36,14.61,15.56,,Net Profit Margin (%),13.03,11.82,12.9,11.75,11.27,
Return on Networth / Equity (%),26.94,21.04,18.27,14.02,15.07,,Return on Networth / Equity (%),17.49,17.77,19.63,21.66,27.22,,Return on Networth / Equity (%),23.39,32.01,28.93,32.71,28.43,,Return on Networth / Equity (%),31.09,25.43,26.03,22.4,19.63,
Return on Capital Employed (%),33.6,27,20.47,17.9,18.16,,Return on Capital Employed (%),24.16,17.32,19.16,20.97,25.39,,Return on Capital Employed (%),21.82,29.8,27.41,30.67,27.84,,Return on Capital Employed (%),30.62,25.03,25.57,21.84,19,
Return on Assets (%),19.54,15.04,13.02,10.84,10.56,,Return on Assets (%),12.34,12.8,14.57,16.79,18.18,,Return on Assets (%),15.9,20.82,19.06,20.62,18.62,,Return on Assets (%),19.62,15.61,17.57,15.21,12.93,
Total Debt/Equity (X),0.02,0.07,0.08,0,0.12,,Total Debt/Equity (X),0.07,0.06,0.07,0,0,,Total Debt/Equity (X),0,0,0,0,0.01,,Total Debt/Equity (X),0.02,0.03,0,0.01,0.04,
Asset Turnover Ratio (%),1.12,1.08,0.98,75.99,86.62,,Asset Turnover Ratio (%),96.67,91.88,100.72,104.86,101.94,,Asset Turnover Ratio (%),105.4,125.06,132.74,141.06,119.59,,Asset Turnover Ratio (%),150.52,131.97,136.16,129.38,114.8,
Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,
Current Ratio (X),2.9,2.7,2.53,2.95,2.16,,Current Ratio (X),2.24,2.23,2.21,2.5,1.96,,Current Ratio (X),1.97,2.29,2.29,2.32,1.6,,Current Ratio (X),1.84,1.6,2.06,2.07,1.92,
Quick Ratio (X),2.44,2.23,2.11,2.44,1.79,,Quick Ratio (X),1.83,1.85,1.75,1.83,1.41,,Quick Ratio (X),1.43,1.81,1.69,1.77,1.09,,Quick Ratio (X),1.25,1.12,1.4,1.4,1.21,
Inventory Turnover Ratio (X),5.32,5.7,5.59,7.76,9,,Inventory Turnover Ratio (X),9.05,9.46,9.03,7.84,6.46,,Inventory Turnover Ratio (X),7.21,8.65,7.25,7.79,6.96,,Inventory Turnover Ratio (X),7.11,7.38,6.66,6.4,5.09,
Dividend Payout Ratio (NP) (%),30.04,29.44,25.01,31.4,74.87,,Dividend Payout Ratio (NP) (%),65.21,19.56,18.86,51.44,49.38,,Dividend Payout Ratio (NP) (%),60.05,47.16,51.57,50.25,53.52,,Dividend Payout Ratio (NP) (%),41.09,32.44,32.72,45.07,57.71,
Dividend Payout Ratio (CP) (%),27.44,26.18,21.72,26.1,63,,Dividend Payout Ratio (CP) (%),56.57,17.27,16.91,46.45,44.83,,Dividend Payout Ratio (CP) (%),55.2,44.41,48.15,47.32,49.5,,Dividend Payout Ratio (CP) (%),37.18,29.03,28.83,37.83,45.79,
Earnings Retention Ratio (%),69.96,70.56,74.99,68.6,25.13,,Earnings Retention Ratio (%),34.79,80.44,81.14,48.56,50.62,,Earnings Retention Ratio (%),39.95,52.84,48.43,49.75,46.48,,Earnings Retention Ratio (%),58.91,67.56,67.28,54.93,42.29,
Cash Earnings Retention Ratio (%),72.56,73.82,78.28,73.9,37,,Cash Earnings Retention Ratio (%),43.43,82.73,83.09,53.55,55.17,,Cash Earnings Retention Ratio (%),44.8,55.59,51.85,52.68,50.5,,Cash Earnings Retention Ratio (%),62.82,70.97,71.17,62.17,54.21,
Valuation Ratios,,,,,,,Valuation Ratios,,,,,,,Valuation Ratios,,,,,,,Valuation Ratios,,,,,,
Enterprise Value (Cr.),"81,977.10","44,127.88","30,119.69","24,541.77","9,043.72",,Enterprise Value (Cr.),"20,224.02","19,216.54","26,396.07","23,254.67","24,241.67",,Enterprise Value (Cr.),"16,434.63","13,424.96","13,549.18","13,450.36","10,121.99",,Enterprise Value (Cr.),"3,664.79","6,308.95","5,208.70","4,702.65","2,238.19",
EV/Net Operating Revenue (X),9.15,5.7,4.91,5.67,1.75,,EV/Net Operating Revenue (X),3.57,3.78,5.2,4.94,5.5,,EV/Net Operating Revenue (X),4.13,2.93,3.29,3.33,3.55,,EV/Net Operating Revenue (X),1.1,2.66,2.78,3.15,1.84,
EV/EBITDA (X),35.2,26.54,25.69,25.84,9.85,,EV/EBITDA (X),17.48,20,26.14,23.23,23.73,,EV/EBITDA (X),18.79,12.89,16.51,15.94,15.6,,EV/EBITDA (X),6.02,14.68,13.71,16.77,10.07,
MarketCap/Net Operating Revenue (X),9.31,5.83,5.07,5.89,1.75,,MarketCap/Net Operating Revenue (X),3.65,3.82,5.17,4.96,5.52,,MarketCap/Net Operating Revenue (X),4.15,3,3.35,3.35,3.57,,MarketCap/Net Operating Revenue (X),1.11,2.65,2.8,3.14,1.81,
Retention Ratios (%),69.95,70.55,74.98,68.59,25.12,,Retention Ratios (%),34.78,80.43,81.13,48.55,50.61,,Retention Ratios (%),39.94,52.83,48.42,49.74,46.47,,Retention Ratios (%),58.9,67.55,67.27,54.92,42.28,
Price/BV (X),13.53,8.41,6.42,5.78,2.16,,Price/BV (X),5,4.88,7.02,6.71,8.43,,Price/BV (X),6.44,5.77,6.74,7.5,6.51,,Price/BV (X),2.64,5.7,5.64,5.99,3.16,
Price/Net Operating Revenue,9.31,5.83,5.07,5.89,1.75,,Price/Net Operating Revenue,3.65,3.82,5.17,4.96,5.52,,Price/Net Operating Revenue,4.15,3,3.35,3.35,3.57,,Price/Net Operating Revenue,1.11,2.65,2.8,3.14,1.81,
Earnings Yield,0.02,0.03,0.03,0.02,0.07,,Earnings Yield,0.03,0.04,0.03,0.03,0.03,,Earnings Yield,0.04,0.06,0.04,0.04,0.04,,Earnings Yield,0.12,0.04,0.05,0.04,0.06,
