Key Financial Ratios of Godawari Power & Ispat (in Rs. Cr.),Mar-24,Mar-23,Mar-22,Mar-21,Mar-20,,Key Financial Ratios of Godawari Power & Ispat (in Rs. Cr.),Mar-19,Mar-18,Mar-17,Mar-16,Mar-15,,Key Financial Ratios of Godawari Power & Ispat (in Rs. Cr.),Mar-14,Mar-13,Mar-12,Mar-11,Mar-10,,Key Financial Ratios of Godawari Power & Ispat (in Rs. Cr.),Mar-09,Mar-08,Mar-07,Mar-06,Mar-05,
PBT/Share (Rs.),93.96,78.98,130.38,265.52,57.94,,PBT/Share (Rs.),102.6,47.1,-22.87,-25.71,21.1,,PBT/Share (Rs.),16.85,32.35,31.44,28.11,22.08,,PBT/Share (Rs.),23.25,38.52,23.74,15.37,16.22,
Net Profit/Share (Rs.),69.8,58.5,99.01,183.45,35.59,,Net Profit/Share (Rs.),62.52,53.34,-22.7,-19.35,18.96,,Net Profit/Share (Rs.),17.08,37.9,24.86,22.44,18.31,,Net Profit/Share (Rs.),20.43,33.84,21.02,23.03,14.93,
Profitability Ratios,,,,,,,Profitability Ratios,,,,,,,Profitability Ratios,,,,,,,Profitability Ratios,,,,,,
PBDIT Margin (%),27.7,22.85,35.45,28.81,15.96,,PBDIT Margin (%),21.65,20.71,11.44,9.82,14.46,,PBDIT Margin (%),15.34,13.11,14.53,21,16.17,,PBDIT Margin (%),12.05,19.61,19.57,17.38,22.99,
PBIT Margin (%),25.17,20.63,33.45,26.16,12.66,,PBIT Margin (%),18.5,16.51,6.38,5.21,11.05,,PBIT Margin (%),11.01,10.37,11.58,15.99,12.09,,PBIT Margin (%),9.51,16.67,17.11,14.78,17.87,
PBT Margin (%),24.49,20.39,35.05,24.87,7.12,,PBT Margin (%),12.17,7.55,-5.04,-5.47,3.57,,PBT Margin (%),3.58,5.54,5.76,9.55,7.98,,PBT Margin (%),6.28,13.09,13.31,10.63,15.17,
Net Profit Margin (%),18.19,15.1,26.62,17.18,4.37,,Net Profit Margin (%),7.41,8.55,-5,-4.11,3.2,,Net Profit Margin (%),3.63,6.49,4.55,7.62,6.62,,Net Profit Margin (%),5.52,11.5,11.78,15.93,13.96,
Return on Networth / Equity (%),21.23,21.21,43.66,34.64,10.14,,Return on Networth / Equity (%),19.79,20.97,-11.31,-8.37,7.57,,Return on Networth / Equity (%),7.31,17.32,12.55,12.74,10.71,,Return on Networth / Equity (%),13.24,24.73,25.45,38.14,38.16,
Return on Capital Employed (%),28.08,27.48,51.74,39.77,15.58,,Return on Capital Employed (%),24.1,8.41,-3.77,-3.85,3.73,,Return on Capital Employed (%),3.48,8.35,7.35,7.53,6.43,,Return on Capital Employed (%),8.29,15.52,12.14,18.31,19.49,
Return on Assets (%),17.89,17.11,31.55,22.34,4.62,,Return on Assets (%),8,7.04,-3.24,-2.42,2.45,,Return on Assets (%),2.49,6.15,5.32,5.53,5.31,,Return on Assets (%),6.81,12.82,9.92,13.27,14.99,
Total Debt/Equity (X),0,0.04,0.13,0.27,0.96,,Total Debt/Equity (X),1.16,1.63,2.24,1.48,1.26,,Total Debt/Equity (X),1.4,1.28,0.93,1,0.82,,Total Debt/Equity (X),0.77,0.74,1.35,1.65,1.24,
Asset Turnover Ratio (%),1.03,1.18,1.43,1.34,105.6,,Asset Turnover Ratio (%),107.95,82.28,64.72,58.97,76.49,,Asset Turnover Ratio (%),68.8,94.75,116.78,72.56,80.2,,Asset Turnover Ratio (%),123.22,111.49,84.22,83.35,107.41,
Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,
Current Ratio (X),3.48,2.76,2.06,2.42,1.99,,Current Ratio (X),1.84,1.76,1.81,0.85,0.88,,Current Ratio (X),0.98,1.22,1.09,1.01,1.62,,Current Ratio (X),1.77,2.42,1.45,1.05,1.26,
Quick Ratio (X),2.36,1.8,1.31,1.19,0.8,,Quick Ratio (X),0.61,0.85,1.01,0.43,0.51,,Quick Ratio (X),0.54,0.71,0.45,0.34,0.69,,Quick Ratio (X),0.88,1.13,0.71,0.5,0.57,
Inventory Turnover Ratio (X),3.74,3.91,3.44,3.55,6.22,,Inventory Turnover Ratio (X),5.15,5.54,5.72,3.85,6.09,,Inventory Turnover Ratio (X),5.42,7.01,6.6,4.09,4.89,,Inventory Turnover Ratio (X),7.7,4.97,6.23,5.53,6.71,
Dividend Payout Ratio (NP) (%),5.92,15,4.82,0,0,,Dividend Payout Ratio (NP) (%),0,0,0,0,5.27,,Dividend Payout Ratio (NP) (%),14.63,6.59,10.05,11.14,13.65,,Dividend Payout Ratio (NP) (%),12.23,11.82,14.27,6.67,1.48,
Dividend Payout Ratio (CP) (%),5.2,13.09,4.48,0,0,,Dividend Payout Ratio (CP) (%),0,0,0,0,2.56,,Dividend Payout Ratio (CP) (%),6.67,4.64,6.1,6.72,8.45,,Dividend Payout Ratio (CP) (%),8.37,9.41,11.81,5.73,1.08,
Earnings Retention Ratio (%),94.08,85,95.18,0,0,,Earnings Retention Ratio (%),0,0,0,0,94.73,,Earnings Retention Ratio (%),85.37,93.41,89.95,88.86,86.35,,Earnings Retention Ratio (%),87.77,88.18,85.73,93.33,98.52,
Cash Earnings Retention Ratio (%),94.8,86.91,95.52,0,0,,Cash Earnings Retention Ratio (%),0,0,0,0,97.44,,Cash Earnings Retention Ratio (%),93.33,95.36,93.9,93.28,91.55,,Cash Earnings Retention Ratio (%),91.63,90.59,88.19,94.27,98.92,
Valuation Ratios,,,,,,,Valuation Ratios,,,,,,,Valuation Ratios,,,,,,,Valuation Ratios,,,,,,
Enterprise Value (Cr.),"9,103.14","4,249.67","5,119.75","2,893.08","1,492.41",,Enterprise Value (Cr.),"2,006.04","2,848.04","1,894.22","1,222.84","1,309.98",,Enterprise Value (Cr.),"1,317.78","1,158.00",876.59,"1,110.98","1,115.64",,Enterprise Value (Cr.),438.96,685.78,536.75,0,0,
EV/Net Operating Revenue (X),1.81,0.8,1.01,0.79,0.54,,EV/Net Operating Revenue (X),0.7,1.34,1.23,0.79,0.68,,EV/Net Operating Revenue (X),0.86,0.61,0.51,1.19,1.44,,EV/Net Operating Revenue (X),0.42,0.83,1.21,0,0,
EV/EBITDA (X),6.52,3.52,2.85,2.76,3.37,,EV/EBITDA (X),3.22,6.47,10.71,8.08,4.68,,EV/EBITDA (X),5.57,4.62,3.48,5.66,8.89,,EV/EBITDA (X),3.51,4.23,6.19,0,0,
MarketCap/Net Operating Revenue (X),1.98,0.9,1.04,0.67,0.13,,MarketCap/Net Operating Revenue (X),0.27,0.69,0.26,0.11,0.16,,MarketCap/Net Operating Revenue (X),0.17,0.14,0.19,0.6,0.95,,MarketCap/Net Operating Revenue (X),0.14,0.56,0.61,0,0,
Retention Ratios (%),94.07,84.99,95.17,0,0,,Retention Ratios (%),0,0,0,0,94.72,,Retention Ratios (%),85.36,93.4,89.94,88.85,86.34,,Retention Ratios (%),87.76,88.17,85.72,93.32,98.51,
Price/BV (X),2.31,1.26,1.7,1.36,0.3,,Price/BV (X),0.73,1.7,0.58,0.23,0.38,,Price/BV (X),0.35,0.38,0.53,1,1.54,,Price/BV (X),0.34,1.21,1.32,0,0,
Price/Net Operating Revenue,1.98,0.9,1.04,0.67,0.13,,Price/Net Operating Revenue,0.27,0.69,0.26,0.11,0.16,,Price/Net Operating Revenue,0.17,0.14,0.19,0.6,0.95,,Price/Net Operating Revenue,0.14,0.56,0.61,0,0,
Earnings Yield,0.09,0.17,0.26,0.26,0.34,,Earnings Yield,0.27,0.12,-0.19,-0.36,0.2,,Earnings Yield,0.21,0.45,0.24,0.13,0.07,,Earnings Yield,0.39,0.2,0.19,0,0,
Source : Dion Global Solutions Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,
