Key Financial Ratios of Bharat Heavy Electricals (in Rs. Cr.),Mar-24,Mar-23,Mar-22,Mar-21,Mar-20,,Key Financial Ratios of Bharat Heavy Electricals (in Rs. Cr.),Mar-19,Mar-18,Mar-17,Mar-16,Mar-15,,Key Financial Ratios of Bharat Heavy Electricals (in Rs. Cr.),Mar-14,Mar-13,Mar-12,Mar-11,Mar-10,,Key Financial Ratios of Bharat Heavy Electricals (in Rs. Cr.),Mar-09,Mar-08,Mar-07,Mar-06,Mar-05,
Return on Networth / Equity (%),1.04,1.64,1.52,-10.25,-5.04,,Return on Networth / Equity (%),3.84,2.47,1.53,-2.2,4.16,,Return on Networth / Equity (%),10.47,21.72,27.74,29.82,27.08,,Return on Networth / Equity (%),24.25,26.53,27.47,22.99,15.81,
Return on Capital Employed (%),2.79,2.66,2.24,-9.15,-0.41,,Return on Capital Employed (%),5.63,4.42,2.38,-1.81,4.84,,Return on Capital Employed (%),10.9,22.59,27.25,26.4,41.09,,Return on Capital Employed (%),37.05,40.93,42.32,29.15,20.09,
Return on Assets (%),0.43,0.74,0.72,-4.87,-2.44,,Return on Assets (%),1.87,1.26,0.8,-1.08,2.07,,Return on Assets (%),4.75,9.43,10.54,10.14,8.87,,Return on Assets (%),7.56,8.14,9.09,8.22,6.29,
Total Debt/Equity (X),0.35,0.2,0.18,0.18,0.17,,Total Debt/Equity (X),0.08,0,0,0,0,,Total Debt/Equity (X),0.08,0.05,0,0.01,0.01,,Total Debt/Equity (X),0.01,0.01,0.01,0.08,0.09,
Asset Turnover Ratio (%),0.4,0.4,0.38,31.07,35.62,,Asset Turnover Ratio (%),47.21,45.34,46.45,40.87,44.08,,Asset Turnover Ratio (%),53.72,69.05,71.85,71.28,68.42,,Asset Turnover Ratio (%),64.16,55.65,65.41,65.84,63.67,
Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,
Current Ratio (X),1.36,1.29,1.3,1.39,1.45,,Current Ratio (X),1.67,1.94,2.13,2.18,2.19,,Current Ratio (X),2.04,1.83,1.7,1.74,1.32,,Current Ratio (X),1.3,1.33,1.38,1.48,1.58,
Quick Ratio (X),1.08,1,1,1.04,1.05,,Quick Ratio (X),1.33,1.66,1.76,1.71,1.73,,Quick Ratio (X),1.65,1.41,1.23,1.3,1.04,,Quick Ratio (X),1.02,1.09,1.14,1.18,1.23,
Inventory Turnover Ratio (X),0.93,0.94,0.77,2.41,2.41,,Inventory Turnover Ratio (X),3.9,4.62,3.86,2.77,2.99,,Inventory Turnover Ratio (X),3.99,4.12,3.57,3.89,3.6,,Inventory Turnover Ratio (X),3.4,3.41,4.12,3.59,3.31,
Dividend Payout Ratio (NP) (%),53.59,0,0,0,0,,Dividend Payout Ratio (NP) (%),23.04,60.08,59.23,-21.38,20,,Dividend Payout Ratio (NP) (%),20.01,20,22.25,25.36,26.45,,Dividend Payout Ratio (NP) (%),26.51,26.1,24.83,21.13,20.53,
Dividend Payout Ratio (CP) (%),27.37,0,0,0,0,,Dividend Payout Ratio (CP) (%),16.54,30.42,21.84,67.1,11.37,,Dividend Payout Ratio (CP) (%),15.58,17.48,19.98,23.26,23.91,,Dividend Payout Ratio (CP) (%),23.96,23.64,22.54,18.43,16.7,
Earnings Retention Ratio (%),46.41,0,0,0,0,,Earnings Retention Ratio (%),76.96,39.92,40.77,121.38,80,,Earnings Retention Ratio (%),79.99,80,77.75,74.64,73.55,,Earnings Retention Ratio (%),73.49,73.9,75.17,78.87,79.47,
Cash Earnings Retention Ratio (%),72.63,0,0,0,0,,Cash Earnings Retention Ratio (%),83.46,69.58,78.16,32.9,88.63,,Cash Earnings Retention Ratio (%),84.42,82.52,80.02,76.74,76.09,,Cash Earnings Retention Ratio (%),76.04,76.36,77.46,81.57,83.3,
Valuation Ratios,,,,,,,Valuation Ratios,,,,,,,Valuation Ratios,,,,,,,Valuation Ratios,,,,,,
Enterprise Value (Cr.),"88,726.81","23,162.04","14,775.23","15,107.34","5,757.49",,Enterprise Value (Cr.),"21,104.40","18,651.20","29,518.12","17,881.75","47,754.66",,Enterprise Value (Cr.),"38,950.61","36,993.43","56,342.53","91,354.72","1,07,110.22",,Enterprise Value (Cr.),"63,475.64","92,381.40","49,614.54","51,420.61","16,142.00",
EV/Net Operating Revenue (X),3.71,0.99,0.7,0.87,0.27,,EV/Net Operating Revenue (X),0.69,0.64,1.04,0.67,1.58,,EV/Net Operating Revenue (X),1,0.76,1.17,2.16,3.22,,EV/Net Operating Revenue (X),2.39,4.73,2.86,3.83,1.67,
EV/EBITDA (X),73.91,18.81,13.36,-5.46,16.56,,EV/EBITDA (X),7.51,7.1,16.15,136.45,14.39,,EV/EBITDA (X),6.35,3.52,5.04,9.51,15.12,,EV/EBITDA (X),12.19,19.37,12.32,20.04,10.33,
MarketCap/Net Operating Revenue (X),3.6,1.05,0.81,0.98,0.34,,MarketCap/Net Operating Revenue (X),0.86,1.03,1.4,1.05,1.91,,MarketCap/Net Operating Revenue (X),1.23,0.89,1.31,2.39,3.51,,MarketCap/Net Operating Revenue (X),2.77,5.15,3.19,4.09,1.95,
Retention Ratios (%),46.4,0,0,0,0,,Retention Ratios (%),76.95,39.91,40.76,121.38,79.99,,Retention Ratios (%),79.98,79.99,77.74,74.63,73.54,,Retention Ratios (%),73.48,73.89,75.16,78.86,79.46,
Price/BV (X),3.46,0.9,0.64,0.64,0.25,,Price/BV (X),0.83,0.92,1.24,0.87,1.69,,Price/BV (X),1.46,1.42,2.48,5.01,7.34,,Price/BV (X),5.69,9.34,6.3,7.53,3.12,
Price/Net Operating Revenue,3.6,1.05,0.81,0.98,0.34,,Price/Net Operating Revenue,0.86,1.03,1.4,1.05,1.91,,Price/Net Operating Revenue,1.23,0.89,1.31,2.39,3.51,,Price/Net Operating Revenue,2.77,5.15,3.19,4.09,1.95,
Earnings Yield,0,0.02,0.02,-0.16,-0.2,,Earnings Yield,0.05,0.03,0.01,-0.03,0.02,,Earnings Yield,0.07,0.15,0.11,0.06,0.04,,Earnings Yield,0.04,0.03,0.04,0.03,0.05,
,,,,,,,,,,,,,,Source : Dion Global Solutions Limited,,,,,,,,,,,,,
