Key Financial Ratios of Astral Limited (in Rs. Cr.),Mar-24,Mar-23,Mar-22,Mar-21,Mar-20,,Key Financial Ratios of Astral Limited (in Rs. Cr.),Mar-19,Mar-18,Mar-17,Mar-16,Mar-15,,Key Financial Ratios of Astral Limited (in Rs. Cr.),Mar-14,Mar-13,Mar-12,Mar-11,Mar-10,,Key Financial Ratios of Astral Limited (in Rs. Cr.),Mar-09,Mar-08,Mar-07,Mar-06,Mar-05,
PBT Margin (%),14.4,13.03,15.87,17.66,12.45,,PBT Margin (%),11.38,11.22,10.78,7.75,7.71,,PBT Margin (%),9.44,9.48,8.69,10.27,11.35,,PBT Margin (%),6.82,14.3,10.73,9.19,8.71,
Net Profit Margin (%),10.78,9.71,11.75,13.14,9.82,,Net Profit Margin (%),7.38,7.39,7.22,5.43,5.49,,Net Profit Margin (%),7.19,7.24,6.86,8.17,9.71,,Net Profit Margin (%),7.36,12.56,9.08,7.47,6.46,
Return on Networth / Equity (%),17.59,16.72,20.18,19.88,15.09,,Return on Networth / Equity (%),12.27,12.56,12.76,9.82,11.25,,Return on Networth / Equity (%),24.62,24.73,21.55,22.76,23.97,,Return on Networth / Equity (%),15.5,21.7,13.73,31.77,25.67,
Return on Capital Employed (%),23.49,23.36,26.88,27.11,19.9,,Return on Capital Employed (%),18.75,11.31,11.09,8.23,9.26,,Return on Capital Employed (%),18.99,18.97,15.84,18.49,17.88,,Return on Capital Employed (%),10.63,17.24,11.02,14.11,10.75,
Return on Assets (%),13.06,12.48,14.67,14.71,10.34,,Return on Assets (%),7.92,8.31,8.09,5.89,6.54,,Return on Assets (%),11.3,11.01,8.36,10.28,10.74,,Return on Assets (%),7.2,11.56,7.88,8.67,8.1,
Total Debt/Equity (X),0.01,0,0.01,0.01,0.07,,Total Debt/Equity (X),0.13,0.08,0.15,0.16,0.18,,Total Debt/Equity (X),0.3,0.26,0.34,0.21,0.35,,Total Debt/Equity (X),0.68,0.41,0.37,1.28,1.28,
Asset Turnover Ratio (%),1.31,1.45,1.38,111.88,105.2,,Asset Turnover Ratio (%),107.32,112.46,112.16,108.49,119.05,,Asset Turnover Ratio (%),157.04,151.93,121.94,125.83,110.65,,Asset Turnover Ratio (%),97.89,92.03,86.74,116.07,125.29,
Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,
Current Ratio (X),1.71,1.84,1.78,1.71,1.42,,Current Ratio (X),1.34,1.44,1.48,1.4,1.48,,Current Ratio (X),1.36,1.38,1.32,1.4,1.6,,Current Ratio (X),1.76,1.84,2.41,1.26,2.16,
Quick Ratio (X),0.91,0.94,0.98,1.03,0.54,,Quick Ratio (X),0.69,0.74,0.93,0.79,0.82,,Quick Ratio (X),0.68,0.73,0.76,0.8,0.93,,Quick Ratio (X),0.98,1.29,1.82,0.67,1.17,
Inventory Turnover Ratio (X),3.98,4.55,5.15,6.9,4.84,,Inventory Turnover Ratio (X),6.4,6.07,7.52,6.29,6.12,,Inventory Turnover Ratio (X),5.67,5.54,4.62,4.77,4.14,,Inventory Turnover Ratio (X),3.89,5.13,5.16,5.08,5.14,
Dividend Payout Ratio (NP) (%),18.29,13.46,11.16,4.61,11.95,,Dividend Payout Ratio (NP) (%),6.63,6.66,2.7,6.6,6.31,,Dividend Payout Ratio (NP) (%),4.73,4.72,6.36,7.52,8.01,,Dividend Payout Ratio (NP) (%),7.91,6.58,0,0,0,
Dividend Payout Ratio (CP) (%),14.26,10.3,8.86,3.56,8.25,,Dividend Payout Ratio (CP) (%),4.5,4.78,1.94,4.43,4.26,,Dividend Payout Ratio (CP) (%),3.7,3.63,4.75,5.7,6.13,,Dividend Payout Ratio (CP) (%),5.51,5.52,0,0,0,
Earnings Retention Ratio (%),81.71,86.54,88.84,95.39,88.05,,Earnings Retention Ratio (%),93.37,93.34,97.3,93.4,93.69,,Earnings Retention Ratio (%),95.27,95.28,93.64,92.48,91.99,,Earnings Retention Ratio (%),92.09,93.42,0,0,100,
Cash Earnings Retention Ratio (%),85.74,89.7,91.14,96.44,91.75,,Cash Earnings Retention Ratio (%),95.5,95.22,98.06,95.57,95.74,,Cash Earnings Retention Ratio (%),96.3,96.37,95.25,94.3,93.87,,Cash Earnings Retention Ratio (%),94.49,94.48,0,0,100,
Valuation Ratios,,,,,,,Valuation Ratios,,,,,,,Valuation Ratios,,,,,,,Valuation Ratios,,,,,,
Enterprise Value (Cr.),"53,006.01","35,521.46","40,256.82","32,180.87","13,977.30",,Enterprise Value (Cr.),"13,961.60","10,762.65","6,665.89","5,097.65","5,349.42",,Enterprise Value (Cr.),"2,707.27",861.02,464.47,326.66,252.96,,Enterprise Value (Cr.),101.25,186.84,80.59,0,0,
EV/Net Operating Revenue (X),10.39,7.7,11.69,12.94,6.84,,EV/Net Operating Revenue (X),7.29,6.69,4.51,3.82,4.27,,EV/Net Operating Revenue (X),2.52,1.05,0.8,0.8,0.88,,EV/Net Operating Revenue (X),0.53,1.38,0.8,0,0,
EV/EBITDA (X),58.14,45.83,60.77,57.96,36.72,,EV/EBITDA (X),44.27,43.45,30.97,30.62,34.96,,EV/EBITDA (X),17.67,7.58,5.42,5.7,5.55,,EV/EBITDA (X),4.27,7.45,5.49,0,0,
MarketCap/Net Operating Revenue (X),10.49,7.8,11.81,13.07,6.83,,MarketCap/Net Operating Revenue (X),7.24,6.66,4.44,3.77,4.19,,MarketCap/Net Operating Revenue (X),2.44,0.99,0.75,0.74,0.75,,MarketCap/Net Operating Revenue (X),0.21,1.33,0.93,0,0,
Retention Ratios (%),81.7,86.53,88.83,95.38,88.04,,Retention Ratios (%),93.36,93.33,97.29,93.39,93.68,,Retention Ratios (%),95.26,95.27,93.63,92.47,91.98,,Retention Ratios (%),92.08,93.41,0,0,100,
Price/BV (X),17.11,13.43,20.28,19.77,10.49,,Price/BV (X),12.04,11.32,7.85,6.81,8.57,,Price/BV (X),8.34,3.36,2.36,2.07,1.85,,Price/BV (X),0.45,2.3,1.4,0,0,
Price/Net Operating Revenue,10.49,7.8,11.81,13.07,6.83,,Price/Net Operating Revenue,7.24,6.66,4.44,3.77,4.19,,Price/Net Operating Revenue,2.44,0.99,0.75,0.74,0.75,,Price/Net Operating Revenue,0.21,1.33,0.93,0,0,
Earnings Yield,0.01,0.01,0.01,0.01,0.01,,Earnings Yield,0.01,0.01,0.02,0.01,0.01,,Earnings Yield,0.03,0.07,0.09,0.11,0.13,,Earnings Yield,0.35,0.09,0.1,0,0,
